var,PC
0.11358563143127116,PC171
0.11342632382751194,PC172
0.11324998743328232,PC173
0.11299520406723182,PC174
0.11276640808323252,PC175
0.11257471630751804,PC176
0.11198766105833084,PC177
0.11192672239594476,PC178
0.11179284742383394,PC179
0.11147972261306469,PC180
0.11139634558549492,PC181
0.11092358617756397,PC182
0.11048026559345714,PC183
0.11037826781365818,PC184
0.11010102071513542,PC185
0.10978751777494064,PC186
0.10964242374196705,PC187
0.1093463553244878,PC188
0.10926592777290631,PC189
0.10899722990140343,PC190
0.1088373864431713,PC191
0.10860133128601945,PC192
0.1084960789055783,PC193
0.10824596576290821,PC194
0.10814908733109425,PC195
0.10791087750284506,PC196
0.1074212228316047,PC197
0.10707714489499877,PC198
0.10685912708551587,PC199
0.10679662695724237,PC200
0.10655417023263805,PC201
0.1061422820584731,PC202
0.10600615071478885,PC203
0.1058879156741515,PC204
0.105725892826941,PC205
0.10523828432389264,PC206
0.10519109382186803,PC207
0.10489017433424534,PC208
0.10464159519836208,PC209
0.1043984952954444,PC210
0.10433311571882461,PC211
0.10400296939133678,PC212
0.10374830330869948,PC213
0.10354924584545502,PC214
0.10341420903089635,PC215
0.10329136277473579,PC216
0.10311586127020268,PC217
0.10279588537109186,PC218
0.10270271139064084,PC219
0.10249572566875964,PC220
0.10236942114975488,PC221
0.1020844122530995,PC222
0.1018635013905952,PC223
0.10135737672949394,PC224
0.10109834522245666,PC225
0.10098915028617221,PC226
0.1009829402814275,PC227
0.1007501957606707,PC228
0.10030604494362692,PC229
0.10027065121931283,PC230
0.1000520142258649,PC231
0.09982895442704307,PC232
0.09967494503948617,PC233
0.09928447825681881,PC234
0.09914866485244801,PC235
0.09907256448227988,PC236
0.09857515332130444,PC237
0.09827583536311901,PC238
0.0981841529002491,PC239
0.09805710896033647,PC240
0.09791470491944321,PC241
0.09768933882979315,PC242
0.09730107282232614,PC243
0.09708431080199391,PC244
0.09689824381618038,PC245
0.09673775108133868,PC246
0.09652624045531327,PC247
0.09636759167514307,PC248
0.09599517619021122,PC249
0.09581347024051991,PC250
0.09571862461957238,PC251
0.09554352894842083,PC252
0.09522151611715139,PC253
0.09500275863290572,PC254
0.09480856698141293,PC255
0.09453235682893184,PC256
0.0943223834594714,PC257
0.09415432424747507,PC258
0.09397000595056544,PC259
0.0938388956287132,PC260
0.09354785450415974,PC261
0.09348813336268419,PC262
0.0933675986279077,PC263
0.09322195722405806,PC264
0.09302667138762241,PC265
0.09278852974796238,PC266
0.09265857484814365,PC267
0.09248186742762218,PC268
0.09211081297306051,PC269
0.0919379685919756,PC270
0.09177861291450112,PC271
0.09149287349427485,PC272
0.09126341007827274,PC273
0.09105452539645943,PC274
0.09080653131639733,PC275
0.09066556040157644,PC276
0.09047235993253253,PC277
0.09034587021939203,PC278
0.08983306734831838,PC279
0.08964691841514472,PC280
0.08958681588475992,PC281
0.08920702765609184,PC282
0.08913687658661228,PC283
0.08896528812269208,PC284
0.08849496197414555,PC285
0.08843816246597824,PC286
0.08825046956528002,PC287
0.08801271196735769,PC288
0.08767097542335367,PC289
0.08740627394820419,PC290
0.08727243232597369,PC291
0.08699680754116558,PC292
0.08674607717217422,PC293
0.08644778776212965,PC294
0.08641136082165989,PC295
0.08610747661722556,PC296
0.08568942266217502,PC297
0.08503861706707637,PC298
0.08483997892728846,PC299
0.08471571978974494,PC300
