cluster,BIC_score,dose
38,18406040.560471,3
39,19416929.529276483,3
40,20106513.748520073,3
2,4868795.594008106,4
3,5318999.074463681,4
4,5463726.416253235,4
5,5727365.280191621,4
6,6229440.7892112825,4
7,6645145.227641331,4
8,6988071.680978775,4
9,7249131.925926557,4
10,7857407.951485235,4
11,8081452.421519267,4
12,8750885.298943147,4
13,9352601.965649966,4
14,9020006.652496582,4
15,9364256.690603148,4
16,9874803.591478024,4
17,10173079.118493274,4
18,10932648.524886847,4
19,11320904.252822664,4
20,12124300.096628288,4
21,11936059.2268299,4
22,12595085.051651113,4
23,12979517.297138851,4
24,13372079.668116493,4
25,14234217.182652846,4
26,14410750.2201356,4
27,15287784.13385042,4
28,15070410.813764732,4
29,15964187.500109943,4
30,16329851.110656682,4
31,16617780.062947415,4
32,17089204.179518994,4
33,16832670.720740784,4
34,17275219.920342393,4
35,18393444.990787823,4
36,18157838.576631796,4
37,19488125.794102114,4
38,20797861.43989775,4
39,19878568.373343,4
40,21330238.065658465,4
2,4917611.784158173,5
3,5182186.719943723,5
4,5512646.446570485,5
5,5871876.057165427,5
6,6526916.9506845325,5
7,6661008.60106592,5
8,7124587.952310901,5
9,7328045.452242596,5
10,7713132.241806947,5
11,8335425.688944954,5
12,8424498.79833265,5
13,8546228.649396539,5
14,8995477.137865972,5
15,9839586.277188377,5
16,10231328.245936269,5
17,9874363.748977743,5
18,11290232.754651228,5
19,11238288.402914183,5
20,11599809.837611036,5
21,12472762.691375691,5
22,12175725.767171275,5
23,11803310.728064336,5
24,13061511.771402925,5
25,12788782.560876245,5
26,14209472.840518408,5
27,14951210.500294933,5
28,15597183.861929856,5
29,15568711.330287,5
30,15565799.378129262,5
31,17172292.13100307,5
32,16859851.896675367,5
33,17345648.801366903,5
34,16838831.408738192,5
35,17738957.829363275,5
36,18471680.543087997,5
37,18387627.003350995,5
38,18644110.079184048,5
39,19033165.052083433,5
40,19465249.763453785,5
2,4973163.5447417125,6
3,5167204.517698529,6
4,5309819.796068188,6
5,6175076.28610868,6
6,6170813.948507255,6
7,6355484.366797328,6
8,6709834.896874575,6
9,6573380.258748383,6
10,6960277.036737731,6
11,7794354.195133365,6
12,8675905.705958202,6
13,8402118.491028985,6
14,9024453.663273627,6
15,9022856.284567516,6
16,9676523.646331247,6
17,9933174.851605406,6
18,9537259.48415475,6
19,11093104.963930069,6
20,10882178.77831553,6
21,11467074.892087834,6
22,11481174.232745023,6
23,11707872.32834913,6
24,13160513.081566783,6
25,12767562.146594707,6
26,14114165.26107343,6
27,13569590.110273393,6
28,14700954.731104283,6
29,15110394.184140855,6
30,15991654.174782846,6
31,15891044.135808626,6
32,16027945.568479043,6
33,16654311.467052614,6
34,17161241.126958247,6
35,17686850.088257447,6
36,17630908.462112505,6
37,18276101.647713024,6
38,18732010.139686372,6
39,19183896.837508008,6
40,20206433.960931867,6
