moa	dose	assay	avg_precision	no_of_compounds_per_moa	median_replicate_correlation	p_value_percent_matching
adrenergic receptor antagonist	0.04 uM	L1000	0.030661542504422594	31	0.02824026971230739	0.436
adrenergic receptor antagonist	0.12 uM	L1000	0.03164327524857451	31	0.03289347538456498	0.131
adrenergic receptor antagonist	0.37 uM	L1000	0.03573030208180723	31	0.03005516674116861	0.355
adrenergic receptor antagonist	1.11 uM	L1000	0.03636803116793118	31	0.03551235758465457	0.066
adrenergic receptor antagonist	3.33 uM	L1000	0.03432473996985921	31	0.034113397866223125	0.058
adrenergic receptor antagonist	10 uM	L1000	0.03372336982727158	31	0.029479711585676027	0.402
adrenergic receptor antagonist	All	L1000	0.033242897311553	186	0.029270763040991847	0
akt inhibitor	0.04 uM	Cell Painting	0.010041877356914324	6	0.02062407844320813	0.184
akt inhibitor	0.12 uM	Cell Painting	0.019308967144659062	6	0.04214911802869475	0.024
akt inhibitor	0.37 uM	Cell Painting	0.026818763865647376	6	0.06074509457567888	0.002
akt inhibitor	1.11 uM	Cell Painting	0.15766467926079764	6	0.0688066115178018	0
akt inhibitor	3.33 uM	Cell Painting	0.15681941650934264	6	0.013857602029719028	0.327
akt inhibitor	10 uM	Cell Painting	0.047767654818021435	6	0.1139619401503426	0
akt inhibitor	All	Cell Painting	0.021487223131520655	30	0.035792374039278145	0
akt inhibitor	0.04 uM	L1000	0.005230399237094244	6	0.00418091178612946	0.764
akt inhibitor	0.12 uM	L1000	0.010417964682650353	6	0.03934795472059296	0.279
akt inhibitor	0.37 uM	L1000	0.005277785949681482	6	0.027831247920130843	0.443
akt inhibitor	1.11 uM	L1000	0.009444998397898224	6	0.07723477528471633	0.056
akt inhibitor	3.33 uM	L1000	0.07635901745012981	6	0.05537277152968329	0.131
akt inhibitor	10 uM	L1000	0.12727571722668563	6	0.07528909363426965	0.097
akt inhibitor	All	L1000	0.014753489777053746	36	0.04087083524957456	0
alcohol dehydrogenase inhibitor	All	Cell Painting	8.054474782101049e-4	12	-0.009154683471833177	1
alcohol dehydrogenase inhibitor	All	L1000	8.365763263691945e-4	12	0.008792049699059779	0.965
aldose reductase inhibitor	All	Cell Painting	0.0017937435690576497	12	0.012065224071556711	0.076
aldose reductase inhibitor	All	L1000	0.004539124854578417	12	0.1025959088489709	0
alk tyrosine kinase receptor inhibitor	0.04 uM	Cell Painting	0.0026832728189703473	3	0.006649767814332792	0.48
alk tyrosine kinase receptor inhibitor	0.12 uM	Cell Painting	0.009323262810382732	3	0.022172913022602565	0.255
