target	dose	assay	avg_precision	no_of_compounds_per_target	median_correlation
ABCB11|CAMLG|FPR1|PPIA|PPIF|PPP3CA|PPP3R2|SLC10A1|SLCO1B1|SLCO1B3	0.12 uM	L1000	0.0031830820062318035	5	0.029688579649739283
ABCB11|CAMLG|FPR1|PPIA|PPIF|PPP3CA|PPP3R2|SLC10A1|SLCO1B1|SLCO1B3	0.37 uM	Cell Painting	0.0037194905899338576	5	0.014377600494109076
ABCB11|CAMLG|FPR1|PPIA|PPIF|PPP3CA|PPP3R2|SLC10A1|SLCO1B1|SLCO1B3	0.37 uM	L1000	0.003170430846194298	5	0.006821698116239037
ABCB11|CAMLG|FPR1|PPIA|PPIF|PPP3CA|PPP3R2|SLC10A1|SLCO1B1|SLCO1B3	1.11 uM	Cell Painting	0.007326669692630936	5	0.01964782968163289
ABCB11|CAMLG|FPR1|PPIA|PPIF|PPP3CA|PPP3R2|SLC10A1|SLCO1B1|SLCO1B3	1.11 uM	L1000	0.009002687127687127	5	0.02680670981329089
ABCB11|CAMLG|FPR1|PPIA|PPIF|PPP3CA|PPP3R2|SLC10A1|SLCO1B1|SLCO1B3	3.33 uM	Cell Painting	0.006700572877571812	5	0.02626281444172182
ABCB11|CAMLG|FPR1|PPIA|PPIF|PPP3CA|PPP3R2|SLC10A1|SLCO1B1|SLCO1B3	3.33 uM	L1000	0.0031982115333025318	5	-0.011740574903685522
ABCB11|CAMLG|FPR1|PPIA|PPIF|PPP3CA|PPP3R2|SLC10A1|SLCO1B1|SLCO1B3	10 uM	Cell Painting	0.006735111376879369	5	0.04958318033409298
ABCB11|CAMLG|FPR1|PPIA|PPIF|PPP3CA|PPP3R2|SLC10A1|SLCO1B1|SLCO1B3	10 uM	L1000	0.0032275703480275477	5	-0.014649045032977894
ABCB11|CAMLG|FPR1|PPIA|PPIF|PPP3CA|PPP3R2|SLC10A1|SLCO1B1|SLCO1B3	All	Cell Painting	0.0040220679287610445	30	0.0315016020720105
ABCB11|CAMLG|FPR1|PPIA|PPIF|PPP3CA|PPP3R2|SLC10A1|SLCO1B1|SLCO1B3	All	L1000	0.0028355031733801913	30	0.029114039999636496
ABCC8|ADRB2|KCNJ11	0.04 uM	Cell Painting	0.03495347694747386	27	0.009205224036502285
ABCC8|ADRB2|KCNJ11	0.04 uM	L1000	0.025206029350785863	27	0.03174181832796781
ABCC8|ADRB2|KCNJ11	0.12 uM	Cell Painting	0.02554921539753862	27	0.0047917928319695
ABCC8|ADRB2|KCNJ11	0.12 uM	L1000	0.026928752693246717	27	0.02696071777187993
ABCC8|ADRB2|KCNJ11	0.37 uM	Cell Painting	0.03687683261951773	27	0.007373907418250982
ABCC8|ADRB2|KCNJ11	0.37 uM	L1000	0.023408803544639416	27	0.02755759487381085
ABCC8|ADRB2|KCNJ11	1.11 uM	Cell Painting	0.02998704802423313	27	0.010634449464325988
ABCC8|ADRB2|KCNJ11	1.11 uM	L1000	0.027842563227564517	27	0.026792187027957343
ABCC8|ADRB2|KCNJ11	3.33 uM	Cell Painting	0.03344302349415034	27	0.010822635184702611
ABCC8|ADRB2|KCNJ11	3.33 uM	L1000	0.03998436102867485	27	0.02948902327452835
ABCC8|ADRB2|KCNJ11	10 uM	Cell Painting	0.0243352362163929	27	0.009738073905243253
ABCC8|ADRB2|KCNJ11	10 uM	L1000	0.028699322003077853	27	0.022406153963035767
ABCC8|ADRB2|KCNJ11	All	Cell Painting	0.02930110251199755	162	0.008620765057279016
ABCC8|ADRB2|KCNJ11	All	L1000	0.024138663162404747	162	0.029804675698933598
ABCC8|KCNJ1|KCNJ10|KCNJ11	0.04 uM	Cell Painting	0.01918088329328561	12	0.013918673076954963
ABCC8|KCNJ1|KCNJ10|KCNJ11	0.04 uM	L1000	0.0174072178824083	12	0.040810118868071565
ABCC8|KCNJ1|KCNJ10|KCNJ11	0.12 uM	Cell Painting	0.022043664767477447	12	0.0025533077439803494
ABCC8|KCNJ1|KCNJ10|KCNJ11	0.12 uM	L1000	0.013278543135221636	12	0.03432725942681839
ABCC8|KCNJ1|KCNJ10|KCNJ11	0.37 uM	Cell Painting	0.017436506003584956	12	0.008368661502773003
ABCC8|KCNJ1|KCNJ10|KCNJ11	0.37 uM	L1000	0.013545795990198135	12	0.03960344618976562
ABCC8|KCNJ1|KCNJ10|KCNJ11	1.11 uM	Cell Painting	0.019559805199517125	12	0.002317120077743929
ABCC8|KCNJ1|KCNJ10|KCNJ11	1.11 uM	L1000	0.014187344395571781	12	0.003449477708263698
ABCC8|KCNJ1|KCNJ10|KCNJ11	3.33 uM	Cell Painting	0.021520715498531965	12	0.012549023204153107
ABCC8|KCNJ1|KCNJ10|KCNJ11	3.33 uM	L1000	0.010067484444852205	12	0.02356243766845384
ABCC8|KCNJ1|KCNJ10|KCNJ11	10 uM	Cell Painting	0.03712054463536196	12	0.028082958933000897
ABCC8|KCNJ1|KCNJ10|KCNJ11	10 uM	L1000	0.015458311864476323	12	0.016184789229908878
ABCC8|KCNJ1|KCNJ10|KCNJ11	All	Cell Painting	0.015838220965719546	72	0.012072195378888293
ABCC8|KCNJ1|KCNJ10|KCNJ11	All	L1000	0.010829974587597857	72	0.029916960264854433
ABCC8|KCNJ1|KCNJ11	0.04 uM	Cell Painting	0.008495523148689696	11	0.01589478430276095
ABCC8|KCNJ1|KCNJ11	0.04 uM	L1000	0.009902422541985563	11	0.040179245441863125
ABCC8|KCNJ1|KCNJ11	0.12 uM	Cell Painting	0.008676941644690907	11	0.0015582257101248995
ABCC8|KCNJ1|KCNJ11	0.12 uM	L1000	0.009257410232912877	11	0.03756488866287533
ABCC8|KCNJ1|KCNJ11	0.37 uM	Cell Painting	0.009361648901424689	11	0.012567689669738131
ABCC8|KCNJ1|KCNJ11	0.37 uM	L1000	0.013867280672999653	11	0.04828342177669287
ABCC8|KCNJ1|KCNJ11	1.11 uM	Cell Painting	0.00934098824150779	11	0.0058859036317851126
ABCC8|KCNJ1|KCNJ11	1.11 uM	L1000	0.01204730462359603	11	0.0012898894095397706
ABCC8|KCNJ1|KCNJ11	3.33 uM	Cell Painting	0.010360079597361283	11	0.0141452179291169
ABCC8|KCNJ1|KCNJ11	3.33 uM	L1000	0.017325094595054782	11	0.031007780680266175
ABCC8|KCNJ1|KCNJ11	10 uM	Cell Painting	0.008959636100652188	11	0.03586345804095634
ABCC8|KCNJ1|KCNJ11	10 uM	L1000	0.011762491855569306	11	0.023535298564775053
ABCC8|KCNJ1|KCNJ11	All	Cell Painting	0.007951984969693238	66	0.015201125043485862
ABCC8|KCNJ1|KCNJ11	All	L1000	0.01013009842192059	66	0.03500363551476665
ABCC8|KCNJ1|KCNJ11|KCNJ8	0.04 uM	Cell Painting	0.02283109605100158	14	0.01440178808775397
ABCC8|KCNJ1|KCNJ11|KCNJ8	0.04 uM	L1000	0.018560542115694353	14	0.03442879096807153
ABCC8|KCNJ1|KCNJ11|KCNJ8	0.12 uM	Cell Painting	0.02514964983367102	14	0.004524078799406314
ABCC8|KCNJ1|KCNJ11|KCNJ8	0.12 uM	L1000	0.029531744336048854	14	0.03756488866287533
ABCC8|KCNJ1|KCNJ11|KCNJ8	0.37 uM	Cell Painting	0.03381620904288041	14	0.0171110823262772
ABCC8|KCNJ1|KCNJ11|KCNJ8	0.37 uM	L1000	0.023738437216184134	14	0.048649334408582094
ABCC8|KCNJ1|KCNJ11|KCNJ8	1.11 uM	Cell Painting	0.016602027343548098	14	0.011672094354298349
ABCC8|KCNJ1|KCNJ11|KCNJ8	1.11 uM	L1000	0.014323186029067198	14	0.0016158861342510098
ABCC8|KCNJ1|KCNJ11|KCNJ8	3.33 uM	Cell Painting	0.03872328477844639	14	0.0141452179291169
ABCC8|KCNJ1|KCNJ11|KCNJ8	3.33 uM	L1000	0.024471879863468732	14	0.026722213717619448
ABCC8|KCNJ1|KCNJ11|KCNJ8	10 uM	Cell Painting	0.02336963667671061	14	0.01925706901943974
ABCC8|KCNJ1|KCNJ11|KCNJ8	10 uM	L1000	0.033287852344899574	14	0.02064760078781793
ABCC8|KCNJ1|KCNJ11|KCNJ8	All	Cell Painting	0.021793663360242143	84	0.014136010508721982
ABCC8|KCNJ1|KCNJ11|KCNJ8	All	L1000	0.01748242046401044	84	0.03163158022229294
ABCC8|KCNJ10	0.04 uM	Cell Painting	0.015010404651510437	10	0.0076602624899628794
ABCC8|KCNJ10	0.04 uM	L1000	0.007815400602006596	10	0.040179245441863125
ABCC8|KCNJ10	0.12 uM	Cell Painting	0.010010457547429626	10	-0.006800139968924818
ABCC8|KCNJ10	0.12 uM	L1000	0.008722668900771946	10	0.03756488866287533
ABCC8|KCNJ10	0.37 uM	Cell Painting	0.014115389567687838	10	0.011593493320954674
ABCC8|KCNJ10	0.37 uM	L1000	0.011830642083640035	10	0.041427843077940514
ABCC8|KCNJ10	1.11 uM	Cell Painting	0.016253327989517802	10	0.0058859036317851126
ABCC8|KCNJ10	1.11 uM	L1000	0.009966068178355008	10	0.0195128465882291
ABCC8|KCNJ10	3.33 uM	Cell Painting	0.011561818405103081	10	0.010508468415393768
ABCC8|KCNJ10	3.33 uM	L1000	0.01219504045340167	10	0.033825426785407876
ABCC8|KCNJ10	10 uM	Cell Painting	0.01955498723567053	10	0.01925706901943974
ABCC8|KCNJ10	10 uM	L1000	0.00889531408111002	10	-0.0063000070171360485
ABCC8|KCNJ10	All	Cell Painting	0.010627585348682347	60	0.011470079098047394
ABCC8|KCNJ10	All	L1000	0.00849209380916078	60	0.038249628849899756
ABCC8|KCNJ10|KCNJ11|PPARG	0.04 uM	Cell Painting	0.034187287594102264	20	0.002150015076613115
ABCC8|KCNJ10|KCNJ11|PPARG	0.04 uM	L1000	0.02177533390591883	20	0.03886883007142402
ABCC8|KCNJ10|KCNJ11|PPARG	0.12 uM	Cell Painting	0.027812086053499045	20	0.0014774026477802375
ABCC8|KCNJ10|KCNJ11|PPARG	0.12 uM	L1000	0.021561719512903352	20	0.03330836394558355
ABCC8|KCNJ10|KCNJ11|PPARG	0.37 uM	Cell Painting	0.021776538389758134	20	0.003940122977885924
ABCC8|KCNJ10|KCNJ11|PPARG	0.37 uM	L1000	0.022178969449637383	20	0.040974048748708206
ABCC8|KCNJ10|KCNJ11|PPARG	1.11 uM	Cell Painting	0.02036185826998717	20	0.005930651727176593
ABCC8|KCNJ10|KCNJ11|PPARG	1.11 uM	L1000	0.02404736744991014	20	0.027236321087813424
ABCC8|KCNJ10|KCNJ11|PPARG	3.33 uM	Cell Painting	0.05101049884434679	20	0.015006369445478016
ABCC8|KCNJ10|KCNJ11|PPARG	3.33 uM	L1000	0.020380288699211543	20	0.026837297304748965
ABCC8|KCNJ10|KCNJ11|PPARG	10 uM	Cell Painting	0.043493957284504184	20	0.03215089778752048
ABCC8|KCNJ10|KCNJ11|PPARG	10 uM	L1000	0.020789779982944685	20	0.033020389618061405
ABCC8|KCNJ10|KCNJ11|PPARG	All	Cell Painting	0.023586872831331932	120	0.009283101398371879
ABCC8|KCNJ10|KCNJ11|PPARG	All	L1000	0.019954112650430355	120	0.03235365612332211
ABCC8|KCNJ10|KCNJ8	0.04 uM	Cell Painting	0.020036324621402146	14	0.0076602624899628794
ABCC8|KCNJ10|KCNJ8	0.04 uM	L1000	0.018295700260318924	14	0.027943175437934162
ABCC8|KCNJ10|KCNJ8	0.12 uM	Cell Painting	0.01339890917285788	14	0.005341977694140245
ABCC8|KCNJ10|KCNJ8	0.12 uM	L1000	0.01595797155022502	14	0.035482195670668286
ABCC8|KCNJ10|KCNJ8	0.37 uM	Cell Painting	0.011108157288875575	14	0.011593493320954674
ABCC8|KCNJ10|KCNJ8	0.37 uM	L1000	0.030178405458318465	14	0.041427843077940514
ABCC8|KCNJ10|KCNJ8	1.11 uM	Cell Painting	0.013476007712755627	14	0.0071021168745045386
ABCC8|KCNJ10|KCNJ8	1.11 uM	L1000	0.01061320570472808	14	0.0016158861342510098
ABCC8|KCNJ10|KCNJ8	3.33 uM	Cell Painting	0.014911953676769191	14	0.010508468415393768
ABCC8|KCNJ10|KCNJ8	3.33 uM	L1000	0.034309942499041	14	0.025107210835691812
ABCC8|KCNJ10|KCNJ8	10 uM	Cell Painting	0.041572019200907404	14	0.012922253939126488
ABCC8|KCNJ10|KCNJ8	10 uM	L1000	0.014522191386870085	14	0.012183219594290577
ABCC8|KCNJ10|KCNJ8	All	Cell Painting	0.013713757642731236	84	0.011408832831257074
ABCC8|KCNJ10|KCNJ8	All	L1000	0.016681239660863226	84	0.028115982341498806
ABCC8|KCNJ11|PPARG	0.04 uM	Cell Painting	0.03090823038404493	19	0.002545177379063225
ABCC8|KCNJ11|PPARG	0.04 uM	L1000	0.027596143944183874	19	0.03680896132656098
ABCC8|KCNJ11|PPARG	0.12 uM	Cell Painting	0.03143102640737112	19	0.0015582257101248995
ABCC8|KCNJ11|PPARG	0.12 uM	L1000	0.02646454561871125	19	0.03639489401325928
ABCC8|KCNJ11|PPARG	0.37 uM	Cell Painting	0.03521656822733779	19	0.003752960614714389
ABCC8|KCNJ11|PPARG	0.37 uM	L1000	0.026502875665269883	19	0.041427843077940514
ABCC8|KCNJ11|PPARG	1.11 uM	Cell Painting	0.042976303677973095	19	0.005742779808354011
ABCC8|KCNJ11|PPARG	1.11 uM	L1000	0.024029775488054437	19	0.02447307541546243
ABCC8|KCNJ11|PPARG	3.33 uM	Cell Painting	0.03215332828113911	19	0.0141452179291169
ABCC8|KCNJ11|PPARG	3.33 uM	L1000	0.024480293511227227	19	0.02617940142728283
ABCC8|KCNJ11|PPARG	10 uM	Cell Painting	0.051366877250705774	19	0.03409315325513494
ABCC8|KCNJ11|PPARG	10 uM	L1000	0.08003468951063007	19	0.03416807923609898
ABCC8|KCNJ11|PPARG	All	Cell Painting	0.028063018389866048	114	0.010212382885005148
ABCC8|KCNJ11|PPARG	All	L1000	0.022378865749745284	114	0.033825426785407876
ABL1|BCR	0.04 uM	Cell Painting	0.008771929824561403	2	0.07643877351805582
ABL1|BCR	0.04 uM	L1000	0.0012285012285012285	2	-0.1600455020037962
ABL1|BCR	0.12 uM	Cell Painting	0.002617801047120419	2	0.015581318547301676
ABL1|BCR	0.12 uM	L1000	0.0010649627263045794	2	-0.2345797120405415
ABL1|BCR	0.37 uM	Cell Painting	0.0019193857965451055	2	-0.01981835255121961
ABL1|BCR	0.37 uM	L1000	0.001215066828675577	2	-0.05244110720869066
ABL1|BCR	1.11 uM	Cell Painting	0.0027247956403269754	2	0.01638805655047614
ABL1|BCR	1.11 uM	L1000	0.0010582010582010583	2	-0.14790048280870485
ABL1|BCR	3.33 uM	Cell Painting	0.004878048780487805	2	0.03780020368882232
ABL1|BCR	3.33 uM	L1000	0.001466275659824047	2	-0.03012424405480427
ABL1|BCR	10 uM	Cell Painting	0.0025252525252525255	2	0.07194322449707219
ABL1|BCR	10 uM	L1000	0.0014044943820224719	2	0.04816816321521387
ABL1|BCR	All	Cell Painting	0.001453560273631303	12	0.047279694673700697
ABL1|BCR	All	L1000	6.168300897986938e-4	12	0.023024807007969817
ABL1|PDGFRB	0.04 uM	Cell Painting	0.04285390003780809	7	0.03984095920665731
ABL1|PDGFRB	0.04 uM	L1000	0.005314698111748662	7	0.0399360462382805
ABL1|PDGFRB	0.12 uM	Cell Painting	0.018667299010847172	7	0.01494339586797667
ABL1|PDGFRB	0.12 uM	L1000	0.008177610323279615	7	0.04237004732701613
ABL1|PDGFRB	0.37 uM	Cell Painting	0.017585392643572253	7	0.004215068405077024
ABL1|PDGFRB	0.37 uM	L1000	0.007197922921996757	7	0.008330492832043996
ABL1|PDGFRB	1.11 uM	Cell Painting	0.008907044734122667	7	0.009126679509778574
ABL1|PDGFRB	1.11 uM	L1000	0.033294880181315364	7	0.03160869966173203
ABL1|PDGFRB	3.33 uM	Cell Painting	0.01259767547843263	7	0.02990800540128752
ABL1|PDGFRB	3.33 uM	L1000	0.006125261311323609	7	0.0480567685626382
ABL1|PDGFRB	10 uM	Cell Painting	0.006851113312648269	7	0.0615386642104446
ABL1|PDGFRB	10 uM	L1000	0.010370305584178974	7	0.05969642193594449
ABL1|PDGFRB	All	Cell Painting	0.008477265376913339	42	0.020638235907570076
ABL1|PDGFRB	All	L1000	0.00695444383982127	42	0.034665846761632146
ACACA|ACACB	0.04 uM	Cell Painting	0.02564102564102564	2	0.11123036368804425
ACACA|ACACB	0.04 uM	L1000	0.0018832391713747645	2	0.0727927910682287
ACACA|ACACB	0.12 uM	Cell Painting	0.030303030303030304	2	0.09771653782375235
ACACA|ACACB	0.12 uM	L1000	0.0014084507042253522	2	-0.11034221202847344
ACACA|ACACB	0.37 uM	Cell Painting	0.03125	2	0.09379608490701785
ACACA|ACACB	0.37 uM	L1000	0.0012690355329949238	2	-0.08373287417610663
ACACA|ACACB	1.11 uM	Cell Painting	0.02631578947368421	2	0.08902609391720952
ACACA|ACACB	1.11 uM	L1000	0.0010869565217391304	2	-0.13494429459460322
ACACA|ACACB	3.33 uM	Cell Painting	0.005319148936170213	2	-0.002511853059994008
ACACA|ACACB	3.33 uM	L1000	0.0011723329425556857	2	-0.12164801504374312
ACACA|ACACB	10 uM	Cell Painting	0.001597444089456869	2	0.01780048417454006
ACACA|ACACB	10 uM	L1000	0.0016638935108153079	2	-0.06961337404274477
ACACA|ACACB	All	Cell Painting	0.002441593203307598	12	0.07570918351856298
ACACA|ACACB	All	L1000	7.302005513283467e-4	12	0.042929848172766884
ACACB|PRKAB1	0.04 uM	Cell Painting	0.024146451033243484	3	0.08231524070827352
ACACB|PRKAB1	0.04 uM	L1000	0.002846246032260154	3	0.0727927910682287
ACACB|PRKAB1	0.12 uM	Cell Painting	0.038052721088435375	3	0.03667530720538608
ACACB|PRKAB1	0.12 uM	L1000	0.0016367843658498997	3	-0.050808131206687944
ACACB|PRKAB1	0.37 uM	Cell Painting	0.015003030915336432	3	0.09379608490701785
ACACB|PRKAB1	0.37 uM	L1000	0.0019652578763343625	3	-0.030257782240416246
ACACB|PRKAB1	1.11 uM	Cell Painting	0.007916478894396875	3	0.04974888890124589
ACACB|PRKAB1	1.11 uM	L1000	0.0016423963864800406	3	-0.02332634955180847
ACACB|PRKAB1	3.33 uM	Cell Painting	0.005427000400939344	3	0.026105312650695156
ACACB|PRKAB1	3.33 uM	L1000	0.0016503097757552497	3	-0.1010219003128005
ACACB|PRKAB1	10 uM	Cell Painting	0.002448820938066857	3	0.01780048417454006
ACACB|PRKAB1	10 uM	L1000	0.002170127883290649	3	0.010227856668332766
ACACB|PRKAB1	All	Cell Painting	0.004475893469595063	18	0.05080935295016623
ACACB|PRKAB1	All	L1000	0.0012468441035513485	18	0.03765278386812857
ACAN|ADAM28|MMP1|MMP12|MMP13|MMP14|MMP2|MMP3|MMP8|MMP9	0.04 uM	Cell Painting	0.002770181019888002	3	-0.016643512842329778
ACAN|ADAM28|MMP1|MMP12|MMP13|MMP14|MMP2|MMP3|MMP8|MMP9	0.04 uM	L1000	0.00416817033561891	3	-0.051065089790967744
ACAN|ADAM28|MMP1|MMP12|MMP13|MMP14|MMP2|MMP3|MMP8|MMP9	0.12 uM	Cell Painting	0.00253678631066323	3	-0.010173642091950808
ACAN|ADAM28|MMP1|MMP12|MMP13|MMP14|MMP2|MMP3|MMP8|MMP9	0.12 uM	L1000	0.002210783489275819	3	-0.06039730535868392
ACAN|ADAM28|MMP1|MMP12|MMP13|MMP14|MMP2|MMP3|MMP8|MMP9	0.37 uM	Cell Painting	0.0019569523353023272	3	-0.023084763416514928
ACAN|ADAM28|MMP1|MMP12|MMP13|MMP14|MMP2|MMP3|MMP8|MMP9	0.37 uM	L1000	0.028079457904019306	3	0.024090760110732634
ACAN|ADAM28|MMP1|MMP12|MMP13|MMP14|MMP2|MMP3|MMP8|MMP9	1.11 uM	Cell Painting	0.0023616943705524122	3	0.0089867332007183
ACAN|ADAM28|MMP1|MMP12|MMP13|MMP14|MMP2|MMP3|MMP8|MMP9	1.11 uM	L1000	0.005343477634915888	3	-0.06428921932872836
ACAN|ADAM28|MMP1|MMP12|MMP13|MMP14|MMP2|MMP3|MMP8|MMP9	3.33 uM	Cell Painting	0.01773560209424084	3	0.08360263141126342
ACAN|ADAM28|MMP1|MMP12|MMP13|MMP14|MMP2|MMP3|MMP8|MMP9	3.33 uM	L1000	0.0045685914552736975	3	0.02572651619220945
ACAN|ADAM28|MMP1|MMP12|MMP13|MMP14|MMP2|MMP3|MMP8|MMP9	10 uM	Cell Painting	0.054093567251461985	3	0.11287040724138471
ACAN|ADAM28|MMP1|MMP12|MMP13|MMP14|MMP2|MMP3|MMP8|MMP9	10 uM	L1000	0.046232876712328765	3	0.103949268051317
