compound	no_of_replicates	dose	p_value	matching_score	assay	normalization	category
oxaprozin	5	0.04 uM	0.52	0.0090546679737697	Cell Painting	non_spherized	all_data
oxatomide	4	0.04 uM	0.255	0.1020852555594941	Cell Painting	non_spherized	all_data
oxfendazole	5	0.04 uM	0.546	0.0020991083900056	Cell Painting	non_spherized	all_data
oxiconazole	5	0.04 uM	0.218	0.1019471685974503	Cell Painting	non_spherized	all_data
oxiperomide	5	0.04 uM	0.54	0.0039128391868087	Cell Painting	non_spherized	all_data
oxybenzone	5	0.04 uM	0.552	1.7618285302889447e-16	Cell Painting	non_spherized	all_data
oxybuprocaine	5	0.04 uM	0.009	0.3300387339048561	Cell Painting	non_spherized	all_data
oxybutynin	5	0.04 uM	0.55	0.0011441056798486	Cell Painting	non_spherized	all_data
oxymetazoline	5	0.04 uM	0.537	0.0048868278816002	Cell Painting	non_spherized	all_data
oxypurinol	5	0.04 uM	0.036	0.2517080698236926	Cell Painting	non_spherized	all_data
ozagrel	5	0.04 uM	0.0	0.5309277132540487	Cell Painting	non_spherized	all_data
pa-824	5	0.04 uM	0.55	0.0016198394333516	Cell Painting	non_spherized	all_data
paclitaxel	5	0.04 uM	0.511	0.0113710911763616	Cell Painting	non_spherized	all_data
palbociclib	5	0.04 uM	0.0	0.5278857957786307	Cell Painting	non_spherized	all_data
palmitoylethanolamide	5	0.04 uM	0.552	0.0002646656899459	Cell Painting	non_spherized	all_data
palomid-529	5	0.04 uM	0.342	0.0562579732392929	Cell Painting	non_spherized	all_data
palonosetron	5	0.04 uM	0.551	0.0008092603507683	Cell Painting	non_spherized	all_data
palovarotene	5	0.04 uM	0.164	0.1266208310867716	Cell Painting	non_spherized	all_data
papaverine	5	0.04 uM	0.551	0.0006363334151546	Cell Painting	non_spherized	all_data
paracetamol	2	0.04 uM	0.541	0.0027745634267994	Cell Painting	non_spherized	all_data
paroxetine	2	0.04 uM	0.543	0.0015013865353725	Cell Painting	non_spherized	all_data
pasireotide	5	0.04 uM	0.551	0.0005245255921591	Cell Painting	non_spherized	all_data
pazopanib	5	0.04 uM	0.553	-0.0013750203583841	Cell Painting	non_spherized	all_data
pazufloxacin	5	0.04 uM	0.558	-0.0029307981676373	Cell Painting	non_spherized	all_data
pd123319	5	0.04 uM	0.542	0.003596209159939	Cell Painting	non_spherized	all_data
pd153035	5	0.04 uM	0.003	0.3964890398377769	Cell Painting	non_spherized	all_data
pelitinib	5	0.04 uM	0.0	0.4600868691411275	Cell Painting	non_spherized	all_data
pemirolast	5	0.04 uM	0.394	0.0395999611718633	Cell Painting	non_spherized	all_data
penfluridol	5	0.04 uM	0.0	0.5002901962509688	Cell Painting	non_spherized	all_data
penicillin-v-potassium	2	0.04 uM	0.462	0.0583578598183899	Cell Painting	non_spherized	all_data
pentamidine	5	0.04 uM	0.16	0.129221730426661	Cell Painting	non_spherized	all_data
pentoxifylline	5	0.04 uM	0.554	-0.0015291201134604	Cell Painting	non_spherized	all_data
perhexiline	5	0.04 uM	0.613	-0.0170457938269139	Cell Painting	non_spherized	all_data
pf-02545920	5	0.04 uM	0.547	0.0019475438191301	Cell Painting	non_spherized	all_data
pf-03084014	5	0.04 uM	0.538	0.0047370265814379	Cell Painting	non_spherized	all_data
pf-03758309	5	0.04 uM	0.03	0.2654778453323378	Cell Painting	non_spherized	all_data
pf-03814735	5	0.04 uM	0.539	0.0044412850422557	Cell Painting	non_spherized	all_data
pf-04136309	5	0.04 uM	0.539	0.0043902614320645	Cell Painting	non_spherized	all_data
pf-04447943	5	0.04 uM	0.494	0.0166388783959479	Cell Painting	non_spherized	all_data
pf-04457845	5	0.04 uM	0.553	-0.000931596503644	Cell Painting	non_spherized	all_data
pf-04620110	5	0.04 uM	0.552	-0.000799130558454	Cell Painting	non_spherized	all_data
pf-04691502	5	0.04 uM	0.051	0.2196322018885419	Cell Painting	non_spherized	all_data
ph-797804	5	0.04 uM	0.118	0.1518896292487458	Cell Painting	non_spherized	all_data
pha-848125	5	0.04 uM	0.547	0.0019010845489773	Cell Painting	non_spherized	all_data
phenazone	5	0.04 uM	0.553	-0.0013440860215053	Cell Painting	non_spherized	all_data
phenformin	5	0.04 uM	0.36	0.0496469398999873	Cell Painting	non_spherized	all_data
phensuximide	5	0.04 uM	0.436	0.0312728761712674	Cell Painting	non_spherized	all_data
phentermine	5	0.04 uM	0.552	-0.000160884490124	Cell Painting	non_spherized	all_data
phentolamine	5	0.04 uM	0.551	0.0006290165765622	Cell Painting	non_spherized	all_data
phenylacetylglutamine	5	0.04 uM	0.009	0.3293728368024795	Cell Painting	non_spherized	all_data
phenylbutazone	5	0.04 uM	0.549	0.0017109132181739	Cell Painting	non_spherized	all_data
phenylbutyrate	5	0.04 uM	0.55	0.0011858630197235	Cell Painting	non_spherized	all_data
phenylephrine	5	0.04 uM	0.55	0.0015456655767267	Cell Painting	non_spherized	all_data
phenytoin	5	0.04 uM	0.553	-0.0013434035220677	Cell Painting	non_spherized	all_data
physostigmine	5	0.04 uM	0.553	-0.001196967794661	Cell Painting	non_spherized	all_data
pibenzimol	5	0.04 uM	0.004	0.3804604881906138	Cell Painting	non_spherized	all_data
piclamilast	5	0.04 uM	0.519	0.0098650258491081	Cell Painting	non_spherized	all_data
picolinic-acid	4	0.04 uM	0.388	0.0530479990035936	Cell Painting	non_spherized	all_data
picotamide	5	0.04 uM	0.553	-0.001413502603688	Cell Painting	non_spherized	all_data
piketoprofen	5	0.04 uM	0.55	0.0013440860215053	Cell Painting	non_spherized	all_data
pilaralisib	5	0.04 uM	0.542	0.003562530309979	Cell Painting	non_spherized	all_data
pilocarpine	5	0.04 uM	0.506	0.0129426087164413	Cell Painting	non_spherized	all_data
pimavanserin	5	0.04 uM	0.051	0.2208743605675811	Cell Painting	non_spherized	all_data
pimecrolimus	5	0.04 uM	0.59	-0.0096285601996209	Cell Painting	non_spherized	all_data
pimobendan	5	0.04 uM	0.455	0.0258952274044943	Cell Painting	non_spherized	all_data
pimozide	4	0.04 uM	0.607	-0.0229116393052418	Cell Painting	non_spherized	all_data
pinacidil	2	0.04 uM	0.481	0.0434081703525192	Cell Painting	non_spherized	all_data
pinaverium	5	0.04 uM	0.553	-0.0013382687534589	Cell Painting	non_spherized	all_data
pinitol	5	0.04 uM	0.543	0.0034465310219651	Cell Painting	non_spherized	all_data
pioglitazone	5	0.04 uM	0.206	0.1057891870074207	Cell Painting	non_spherized	all_data
piperidolate	5	0.04 uM	0.006	0.3526488241470612	Cell Painting	non_spherized	all_data
pirenoxine	5	0.04 uM	0.594	-0.010024719127146	Cell Painting	non_spherized	all_data
pirenzepine	5	0.04 uM	0.552	0.0001330865202258	Cell Painting	non_spherized	all_data
pirfenidone	5	0.04 uM	0.552	-0.0002953953576963	Cell Painting	non_spherized	all_data
piribedil	5	0.04 uM	0.002	0.4267206936210299	Cell Painting	non_spherized	all_data
piroxicam	5	0.04 uM	0.551	0.000646545715876	Cell Painting	non_spherized	all_data
pitavastatin	5	0.04 uM	0.57	-0.0055451543924142	Cell Painting	non_spherized	all_data
pki-179	5	0.04 uM	0.55	0.0016031846230398	Cell Painting	non_spherized	all_data
podophyllotoxin	5	0.04 uM	0.0	0.9166187407179512	Cell Painting	non_spherized	all_data
pomalidomide	5	0.04 uM	0.419	0.0339604487512201	Cell Painting	non_spherized	all_data
pramipexole	5	0.04 uM	0.544	0.0029510011996275	Cell Painting	non_spherized	all_data
pranlukast	5	0.04 uM	0.55	0.0013440921601255	Cell Painting	non_spherized	all_data
pravastatin	5	0.04 uM	0.553	-0.001368247010323	Cell Painting	non_spherized	all_data
prazosin	5	0.04 uM	0.552	2.1141942363467336e-17	Cell Painting	non_spherized	all_data
prednisone	5	0.04 uM	0.419	0.0342714371294871	Cell Painting	non_spherized	all_data
preladenant	5	0.04 uM	0.552	-0.0004352197137015	Cell Painting	non_spherized	all_data
primaquine	5	0.04 uM	0.551	0.0008598083747094	Cell Painting	non_spherized	all_data
primidone	5	0.04 uM	0.0	0.5406025559811674	Cell Painting	non_spherized	all_data
pritelivir	5	0.04 uM	0.52	0.0085180918713918	Cell Painting	non_spherized	all_data
probenecid	5	0.04 uM	0.346	0.0550245462006735	Cell Painting	non_spherized	all_data
probucol	5	0.04 uM	0.554	-0.0017552515419726	Cell Painting	non_spherized	all_data
procainamide	5	0.04 uM	0.137	0.141327578349576	Cell Painting	non_spherized	all_data
prochlorperazine	5	0.04 uM	0.552	2.570792428761848e-14	Cell Painting	non_spherized	all_data
progesterone	5	0.04 uM	0.551	0.0006150054443599	Cell Painting	non_spherized	all_data
proglumide	5	0.04 uM	0.543	0.0034236474164903	Cell Painting	non_spherized	all_data
proguanil	5	0.04 uM	0.553	-0.0013440131149057	Cell Painting	non_spherized	all_data
propafenone	5	0.04 uM	0.554	-0.001850346471282	Cell Painting	non_spherized	all_data
propentofylline	5	0.04 uM	0.062	0.2020562511427149	Cell Painting	non_spherized	all_data
propranolol	5	0.04 uM	0.013	0.3077460997378527	Cell Painting	non_spherized	all_data
protirelin	5	0.04 uM	0.55	0.0016022481369038	Cell Painting	non_spherized	all_data
protriptyline	2	0.04 uM	0.544	0.0009074058311742	Cell Painting	non_spherized	all_data
prx-08066	5	0.04 uM	0.149	0.1354086512902132	Cell Painting	non_spherized	all_data
psi-6130	5	0.04 uM	0.0	0.4833813595115955	Cell Painting	non_spherized	all_data
pterostilbene	5	0.04 uM	0.54	0.0041571861743044	Cell Painting	non_spherized	all_data
pyrazinamide	5	0.04 uM	0.0	0.5089950190756075	Cell Painting	non_spherized	all_data
pyrazinoylguanidine	5	0.04 uM	0.553	-0.0012446249757156	Cell Painting	non_spherized	all_data
quercetin	5	0.04 uM	0.023	0.2754586334315592	Cell Painting	non_spherized	all_data
quetiapine	5	0.04 uM	0.542	0.0035331743883298	Cell Painting	non_spherized	all_data
quiflapon	5	0.04 uM	0.459	0.0251851355337412	Cell Painting	non_spherized	all_data
quinapril	5	0.04 uM	0.551	0.000485104425362	Cell Painting	non_spherized	all_data
quinidine	10	0.04 uM	0.687	-0.0020204510125782	Cell Painting	non_spherized	all_data
quizartinib	5	0.04 uM	0.262	0.0810266089662389	Cell Painting	non_spherized	all_data
r-428	5	0.04 uM	0.468	0.0227894572610912	Cell Painting	non_spherized	all_data
r547	5	0.04 uM	0.0	0.6403342476378828	Cell Painting	non_spherized	all_data
rabeprazole	5	0.04 uM	0.529	0.0058292381264925	Cell Painting	non_spherized	all_data
racecadotril	5	0.04 uM	0.526	0.0065624392327972	Cell Painting	non_spherized	all_data
raclopride	5	0.04 uM	0.008	0.3430059050254823	Cell Painting	non_spherized	all_data
radezolid	5	0.04 uM	0.545	0.0022374048481038	Cell Painting	non_spherized	all_data
raf265	5	0.04 uM	0.605	-0.0141968928058102	Cell Painting	non_spherized	all_data
raloxifene	5	0.04 uM	0.0	0.528407878319524	Cell Painting	non_spherized	all_data
raltegravir	4	0.04 uM	0.533	-0.0021948908238401	Cell Painting	non_spherized	all_data
ramatroban	5	0.04 uM	0.552	1.5834738520009196e-05	Cell Painting	non_spherized	all_data
ramelteon	5	0.04 uM	0.507	0.0127116060811773	Cell Painting	non_spherized	all_data
ramipril	5	0.04 uM	0.552	-5.415700548058031e-05	Cell Painting	non_spherized	all_data
ranitidine	5	0.04 uM	0.554	-0.00150240647879	Cell Painting	non_spherized	all_data
ranolazine	5	0.04 uM	0.429	0.0324686719283467	Cell Painting	non_spherized	all_data
rasagiline	5	0.04 uM	0.55	0.0013440860215053	Cell Painting	non_spherized	all_data
rebamipide	5	0.04 uM	0.547	0.0019009568315149	Cell Painting	non_spherized	all_data
reboxetine	2	0.04 uM	0.582	-0.0200366452252227	Cell Painting	non_spherized	all_data
refametinib	5	0.04 uM	0.372	0.0457117251269317	Cell Painting	non_spherized	all_data
regadenoson	5	0.04 uM	0.553	-0.0013440860215053	Cell Painting	non_spherized	all_data
regorafenib	5	0.04 uM	0.55	0.0014175179181946	Cell Painting	non_spherized	all_data
relcovaptan	5	0.04 uM	0.259	0.0828457603570212	Cell Painting	non_spherized	all_data
repaglinide	5	0.04 uM	0.036	0.2464126663403835	Cell Painting	non_spherized	all_data
reparixin	5	0.04 uM	0.001	0.4499821254259008	Cell Painting	non_spherized	all_data
resatorvid	5	0.04 uM	0.553	-0.0013440860215054	Cell Painting	non_spherized	all_data
reserpine	5	0.04 uM	0.558	-0.0031971917461258	Cell Painting	non_spherized	all_data
resiquimod	5	0.04 uM	0.55	0.001339743529483	Cell Painting	non_spherized	all_data
resminostat	5	0.04 uM	0.551	0.0005503088976511	Cell Painting	non_spherized	all_data
resveratrol	5	0.04 uM	0.52	0.0089717272017094	Cell Painting	non_spherized	all_data
retapamulin	5	0.04 uM	0.513	0.0108382224192816	Cell Painting	non_spherized	all_data
retigabine	5	0.04 uM	0.551	0.0006519754217105	Cell Painting	non_spherized	all_data
rg-7388	5	0.04 uM	0.553	-0.0013440860214918	Cell Painting	non_spherized	all_data
rg2833	4	0.04 uM	0.49	0.0127034030657029	Cell Painting	non_spherized	all_data
rg4733	5	0.04 uM	0.001	0.4475322618396907	Cell Painting	non_spherized	all_data
ribavirin	5	0.04 uM	0.553	-0.0013392532205411	Cell Painting	non_spherized	all_data
rifabutin	5	0.04 uM	0.539	0.0044231728301623	Cell Painting	non_spherized	all_data
rifaximin	5	0.04 uM	0.553	-0.0013440860215052	Cell Painting	non_spherized	all_data
rilmenidine	5	0.04 uM	0.11	0.1589744819805775	Cell Painting	non_spherized	all_data
rilpivirine	5	0.04 uM	0.546	0.0021026772069533	Cell Painting	non_spherized	all_data
rimantadine	5	0.04 uM	0.55	0.0014385163155595	Cell Painting	non_spherized	all_data
rimcazole	5	0.04 uM	0.552	-0.0004863320232208	Cell Painting	non_spherized	all_data
rimexolone	5	0.04 uM	0.221	0.099952335964677	Cell Painting	non_spherized	all_data
rimonabant	5	0.04 uM	0.547	0.0019467563540787	Cell Painting	non_spherized	all_data
riociguat	5	0.04 uM	0.345	0.0553576510110689	Cell Painting	non_spherized	all_data
ripasudil	5	0.04 uM	0.057	0.2089510603844226	Cell Painting	non_spherized	all_data
risperidone	5	0.04 uM	0.144	0.1381936042306127	Cell Painting	non_spherized	all_data
ritodrine	5	0.04 uM	0.553	-0.0013440860215053	Cell Painting	non_spherized	all_data
rivaroxaban	5	0.04 uM	0.004	0.3791384661751913	Cell Painting	non_spherized	all_data
rizatriptan	5	0.04 uM	0.544	0.0028444283096309	Cell Painting	non_spherized	all_data
ro-4987655	5	0.04 uM	0.55	0.0013439291921744	Cell Painting	non_spherized	all_data
rociletinib	5	0.04 uM	0.52	0.0084542114604399	Cell Painting	non_spherized	all_data
rocuronium	5	0.04 uM	0.557	-0.0024590724709357	Cell Painting	non_spherized	all_data
roflumilast	4	0.04 uM	0.002	0.4395666746244133	Cell Painting	non_spherized	all_data
rolipram	5	0.04 uM	0.001	0.4465062327728307	Cell Painting	non_spherized	all_data
romidepsin	5	0.04 uM	0.0	0.5069011301046228	Cell Painting	non_spherized	all_data
ropinirole	5	0.04 uM	0.0	0.9923901664681456	Cell Painting	non_spherized	all_data
roquinimex	4	0.04 uM	0.062	0.2352277165653938	Cell Painting	non_spherized	all_data
roscovitine	5	0.04 uM	0.004	0.3792474630013015	Cell Painting	non_spherized	all_data
rosiglitazone	5	0.04 uM	0.554	-0.001453914533683	Cell Painting	non_spherized	all_data
rosuvastatin	5	0.04 uM	0.55	0.0013435168516858	Cell Painting	non_spherized	all_data
rotigotine	5	0.04 uM	0.552	-0.0003904394731153	Cell Painting	non_spherized	all_data
rottlerin	4	0.04 uM	0.063	0.2344118188274269	Cell Painting	non_spherized	all_data
rotundine	5	0.04 uM	0.497	0.0156937711556558	Cell Painting	non_spherized	all_data
roxithromycin	5	0.04 uM	0.553	-0.0013440860215026	Cell Painting	non_spherized	all_data
rs-127445	5	0.04 uM	0.544	0.002984210559594	Cell Painting	non_spherized	all_data
ru-58841	5	0.04 uM	0.55	0.0013440860215157	Cell Painting	non_spherized	all_data
rucinol	5	0.04 uM	0.494	0.0165398449448893	Cell Painting	non_spherized	all_data
rupatadine	5	0.04 uM	0.526	0.0069247039859742	Cell Painting	non_spherized	all_data
rutin	5	0.04 uM	0.551	0.0008425368298599	Cell Painting	non_spherized	all_data
s18986	4	0.04 uM	0.222	0.1164125022116569	Cell Painting	non_spherized	all_data
safinamide	5	0.04 uM	0.52	0.0081993640356819	Cell Painting	non_spherized	all_data
salvinorin-a	5	0.04 uM	0.553	-0.0013397759527779	Cell Painting	non_spherized	all_data
saquinavir	5	0.04 uM	0.009	0.3370617041628396	Cell Painting	non_spherized	all_data
saracatinib	5	0.04 uM	0.004	0.358701535051213	Cell Painting	non_spherized	all_data
sarcosine	5	0.04 uM	0.554	-0.0017173787480765	Cell Painting	non_spherized	all_data
sasapyrine	5	0.04 uM	0.55	0.001135245194735	Cell Painting	non_spherized	all_data
saxagliptin	5	0.04 uM	0.438	0.0301924761674477	Cell Painting	non_spherized	all_data
sb-683698	5	0.04 uM	0.552	-0.0008041046339163	Cell Painting	non_spherized	all_data
sb-705498	5	0.04 uM	0.054	0.2115704086633023	Cell Painting	non_spherized	all_data
sb-743921	5	0.04 uM	0.28	0.0753534046057119	Cell Painting	non_spherized	all_data
sb-756050	5	0.04 uM	0.249	0.0867500353032078	Cell Painting	non_spherized	all_data
sb-939	5	0.04 uM	0.122	0.1487250533267134	Cell Painting	non_spherized	all_data
sc-12267	5	0.04 uM	0.081	0.1856005743181784	Cell Painting	non_spherized	all_data
scopolamine	5	0.04 uM	0.344	0.0556842103039691	Cell Painting	non_spherized	all_data
sdz-nkt-343	5	0.04 uM	0.537	0.0048294907172659	Cell Painting	non_spherized	all_data
secnidazole	5	0.04 uM	0.34	0.0569250152240142	Cell Painting	non_spherized	all_data
selamectin	5	0.04 uM	0.002	0.4224746155166988	Cell Painting	non_spherized	all_data
selegiline	5	0.04 uM	0.554	-0.0018210655343181	Cell Painting	non_spherized	all_data
selumetinib	5	0.04 uM	0.491	0.017738933305103	Cell Painting	non_spherized	all_data
semagacestat	5	0.04 uM	0.453	0.0260335983959462	Cell Painting	non_spherized	all_data
semaxanib	5	0.04 uM	0.122	0.1483842029352194	Cell Painting	non_spherized	all_data
senicapoc	5	0.04 uM	0.558	-0.0027137744425231	Cell Painting	non_spherized	all_data
seocalcitol	5	0.04 uM	0.451	0.0263808785102086	Cell Painting	non_spherized	all_data
sep-227900	5	0.04 uM	0.544	0.0027910381779066	Cell Painting	non_spherized	all_data
sertaconazole	5	0.04 uM	0.401	0.0374793669911956	Cell Painting	non_spherized	all_data
sertindole	5	0.04 uM	0.054	0.2124491967801986	Cell Painting	non_spherized	all_data
sertraline	5	0.04 uM	0.003	0.4016357045762011	Cell Painting	non_spherized	all_data
setiptiline	5	0.04 uM	0.55	0.0016030138804233	Cell Painting	non_spherized	all_data
sgi-1776	5	0.04 uM	0.555	-0.0020444461628267	Cell Painting	non_spherized	all_data
siguazodan	5	0.04 uM	0.552	6.676025635876225e-05	Cell Painting	non_spherized	all_data
sildenafil	5	0.04 uM	0.553	-0.0014096531528151	Cell Painting	non_spherized	all_data
simeprevir	5	0.04 uM	0.554	-0.0016691805370881	Cell Painting	non_spherized	all_data
simvastatin	5	0.04 uM	0.54	0.0039900038044648	Cell Painting	non_spherized	all_data
sirolimus	5	0.04 uM	0.206	0.1055662293780754	Cell Painting	non_spherized	all_data
sk&f-10047-(+)	5	0.04 uM	0.553	-0.0013440860215838	Cell Painting	non_spherized	all_data
snx-2112	5	0.04 uM	0.595	-0.0105004403115926	Cell Painting	non_spherized	all_data
sobetirome	5	0.04 uM	0.197	0.1098248948362052	Cell Painting	non_spherized	all_data
sodium-gualenate	5	0.04 uM	0.545	0.0021815087082599	Cell Painting	non_spherized	all_data
sodium-tanshinone-ii-a-sulfonate	5	0.04 uM	0.236	0.0937069334486418	Cell Painting	non_spherized	all_data
sofalcone	4	0.04 uM	0.052	0.2444930942455754	Cell Painting	non_spherized	all_data
sofosbuvir	5	0.04 uM	0.544	0.0028969805836646	Cell Painting	non_spherized	all_data
solifenacin-succinate	5	0.04 uM	0.077	0.188727104222976	Cell Painting	non_spherized	all_data
sorbinil	5	0.04 uM	0.553	-0.0013466265971084	Cell Painting	non_spherized	all_data
sorbitol	5	0.04 uM	0.02	0.2841363032430667	Cell Painting	non_spherized	all_data
sotalol	5	0.04 uM	0.002	0.4155791560615975	Cell Painting	non_spherized	all_data
sotrastaurin	5	0.04 uM	0.0	0.5170036254793805	Cell Painting	non_spherized	all_data
sparfloxacin	5	0.04 uM	0.553	-0.0010981313453054	Cell Painting	non_spherized	all_data
spironolactone	5	0.04 uM	0.546	0.0020611559439171	Cell Painting	non_spherized	all_data
sr-2640	5	0.04 uM	0.565	-0.0049697319389169	Cell Painting	non_spherized	all_data
sr-33805	2	0.04 uM	0.548	-0.00202919149913	Cell Painting	non_spherized	all_data
sta-5326	2	0.04 uM	0.543	0.0017660095228333	Cell Painting	non_spherized	all_data
stavudine	5	0.04 uM	0.55	0.0011093407225894	Cell Painting	non_spherized	all_data
su014813	5	0.04 uM	0.525	0.0072307190589607	Cell Painting	non_spherized	all_data
sulbactam	5	0.04 uM	0.55	0.0013440860215043	Cell Painting	non_spherized	all_data
sulbutiamine	5	0.04 uM	0.316	0.0636850049236725	Cell Painting	non_spherized	all_data
sulfafurazole	5	0.04 uM	0.514	0.0106785447612782	Cell Painting	non_spherized	all_data
sulfasalazine	5	0.04 uM	0.554	-0.0017930930144178	Cell Painting	non_spherized	all_data
sulforaphane	5	0.04 uM	0.55	0.001344086021506	Cell Painting	non_spherized	all_data
sumatriptan	5	0.04 uM	0.553	-0.0013428715592579	Cell Painting	non_spherized	all_data
sunitinib	5	0.04 uM	0.55	0.0013975511682155	Cell Painting	non_spherized	all_data
suprofen	5	0.04 uM	0.539	0.0045798923376649	Cell Painting	non_spherized	all_data
suvorexant	5	0.04 uM	0.248	0.087519222843614	Cell Painting	non_spherized	all_data
swainsonine	5	0.04 uM	0.395	0.0390577392426063	Cell Painting	non_spherized	all_data
t-5224	5	0.04 uM	0.544	0.0032317221651508	Cell Painting	non_spherized	all_data
tacalcitol	5	0.04 uM	0.552	-0.0005012093873949	Cell Painting	non_spherized	all_data
tacedinaline	5	0.04 uM	0.55	0.001505742795299	Cell Painting	non_spherized	all_data
tacrine	5	0.04 uM	0.55	0.0013440860215052	Cell Painting	non_spherized	all_data
tacrolimus	5	0.04 uM	0.519	0.0094803573798635	Cell Painting	non_spherized	all_data
tadalafil	5	0.04 uM	0.55	0.0015590165964653	Cell Painting	non_spherized	all_data
tafamidis-meglumine	5	0.04 uM	0.545	0.0023655638944456	Cell Painting	non_spherized	all_data
tagatose	5	0.04 uM	0.555	-0.0021530578646331	Cell Painting	non_spherized	all_data
tak-285	5	0.04 uM	0.004	0.3634338643537249	Cell Painting	non_spherized	all_data
tak-733	5	0.04 uM	0.003	0.4100277408374206	Cell Painting	non_spherized	all_data
tak-875	5	0.04 uM	0.0	0.5049265151040558	Cell Painting	non_spherized	all_data
taladegib	5	0.04 uM	0.297	0.0703279042784539	Cell Painting	non_spherized	all_data
talazoparib	5	0.04 uM	0.329	0.0604837497808489	Cell Painting	non_spherized	all_data
talinolol	5	0.04 uM	0.552	-1.4864411784776266e-16	Cell Painting	non_spherized	all_data
talmapimod	5	0.04 uM	0.045	0.2325590079417033	Cell Painting	non_spherized	all_data
talnetant	5	0.04 uM	0.061	0.2056457542289165	Cell Painting	non_spherized	all_data
taltirelin	5	0.04 uM	0.555	-0.0020832055959425	Cell Painting	non_spherized	all_data
tamibarotene	5	0.04 uM	0.546	0.0020404362672365	Cell Painting	non_spherized	all_data
tamoxifen	5	0.04 uM	0.55	0.0013389934595834	Cell Painting	non_spherized	all_data
tamsulosin	5	0.04 uM	0.552	-0.0007083560759613	Cell Painting	non_spherized	all_data
tanaproget	5	0.04 uM	0.544	0.0027898183555038	Cell Painting	non_spherized	all_data
taranabant	5	0.04 uM	0.0	0.6615306674830166	Cell Painting	non_spherized	all_data
targinine	5	0.04 uM	0.552	-0.000222723425728	Cell Painting	non_spherized	all_data
tas-103	5	0.04 uM	0.0	0.6068508437342012	Cell Painting	non_spherized	all_data
taselisib	5	0.04 uM	0.533	0.005216049436648	Cell Painting	non_spherized	all_data
tasisulam	2	0.04 uM	0.541	0.0025647234895682	Cell Painting	non_spherized	all_data
tasquinimod	5	0.04 uM	0.282	0.0750609365985288	Cell Painting	non_spherized	all_data
tazobactam	5	0.04 uM	0.553	-0.0013217183090035	Cell Painting	non_spherized	all_data
tebipenem	5	0.04 uM	0.544	0.0033949439028841	Cell Painting	non_spherized	all_data
tecastemizole	5	0.04 uM	0.388	0.0409263550907086	Cell Painting	non_spherized	all_data
tedizolid	5	0.04 uM	0.552	-0.0006519354493691	Cell Painting	non_spherized	all_data
tegobuvir	5	0.04 uM	0.553	-0.0013748624560643	Cell Painting	non_spherized	all_data
telatinib	5	0.04 uM	0.549	0.0018638803650575	Cell Painting	non_spherized	all_data
telbivudine	5	0.04 uM	0.411	0.0354045066555958	Cell Painting	non_spherized	all_data
telcagepant	5	0.04 uM	0.162	0.1274445691143955	Cell Painting	non_spherized	all_data
telmesteine	5	0.04 uM	0.0	0.4636375902082776	Cell Painting	non_spherized	all_data
telmisartan	5	0.04 uM	0.55	0.001409432129542	Cell Painting	non_spherized	all_data
telotristat	5	0.04 uM	0.411	0.0356140116112971	Cell Painting	non_spherized	all_data
temazepam	5	0.04 uM	0.537	0.0049714235668694	Cell Painting	non_spherized	all_data
temozolomide	5	0.04 uM	0.551	0.0010471396776336	Cell Painting	non_spherized	all_data
temsirolimus	10	0.04 uM	0.0	0.5439094305679212	Cell Painting	non_spherized	all_data
teneligliptin	5	0.04 uM	0.014	0.3063278576470821	Cell Painting	non_spherized	all_data
tenidap	5	0.04 uM	0.55	0.0013440860215053	Cell Painting	non_spherized	all_data
terbinafine	5	0.04 uM	0.55	0.0012535775532216	Cell Painting	non_spherized	all_data
teroxirone	5	0.04 uM	0.092	0.1785670988837333	Cell Painting	non_spherized	all_data
tesaglitazar	5	0.04 uM	0.519	0.00950706171865	Cell Painting	non_spherized	all_data
testosterone	5	0.04 uM	0.369	0.0464780227878389	Cell Painting	non_spherized	all_data
tetrabenazine	5	0.04 uM	0.544	0.0024692276944966	Cell Painting	non_spherized	all_data
tetracaine	5	0.04 uM	0.52	0.0086066083860296	Cell Painting	non_spherized	all_data
tetrahydrouridine	5	0.04 uM	0.524	0.0075179039088357	Cell Painting	non_spherized	all_data
tetrindole	5	0.04 uM	0.544	0.0023943112319651	Cell Painting	non_spherized	all_data
tg-100801	5	0.04 uM	0.526	0.0069124631644296	Cell Painting	non_spherized	all_data
thalidomide	5	0.04 uM	0.427	0.0327037617083044	Cell Painting	non_spherized	all_data
theobromine	5	0.04 uM	0.44	0.0297124563164232	Cell Painting	non_spherized	all_data
theophylline	5	0.04 uM	0.553	-0.0013522535032946	Cell Painting	non_spherized	all_data
thiocolchicoside	5	0.04 uM	0.038	0.2396487937735739	Cell Painting	non_spherized	all_data
thioctic-acid	5	0.04 uM	0.007	0.3450515963851323	Cell Painting	non_spherized	all_data
thioguanine	5	0.04 uM	0.55	0.0015691912801856	Cell Painting	non_spherized	all_data
thiomersal	5	0.04 uM	0.55	0.0013440860215123	Cell Painting	non_spherized	all_data
thioridazine	5	0.04 uM	0.483	0.019126181236133	Cell Painting	non_spherized	all_data
thiothixene	5	0.04 uM	0.553	-0.0010899485040026	Cell Painting	non_spherized	all_data
tiagabine	5	0.04 uM	0.551	0.0008838763241242	Cell Painting	non_spherized	all_data
tiapride	5	0.04 uM	0.0	0.6109434125425282	Cell Painting	non_spherized	all_data
