compound	no_of_replicates	dose	p_value	matching_score	assay	normalization	category
amlexanox	5	0.04 uM	0.705	-0.0067169069955744	Cell Painting	spherized	all_data
amlodipine	5	0.04 uM	0.017	0.0367404448913568	Cell Painting	spherized	all_data
ammonium-glycyrrhizinate	5	0.04 uM	0.0	0.1284815481523941	Cell Painting	spherized	all_data
amonafide	5	0.04 uM	0.033	0.031551670610223	Cell Painting	spherized	all_data
amoxapine	4	0.04 uM	0.0	0.104244170683162	Cell Painting	spherized	all_data
amrinone	5	0.04 uM	0.291	0.010472811950466	Cell Painting	spherized	all_data
amsacrine	5	0.04 uM	0.0	0.5390526114218643	Cell Painting	spherized	all_data
amtolmetin-guacil	5	0.04 uM	0.332	0.0087271112585953	Cell Painting	spherized	all_data
amuvatinib	5	0.04 uM	0.0	0.0626099804425481	Cell Painting	spherized	all_data
anamorelin	4	0.04 uM	0.001	0.0565067905572046	Cell Painting	spherized	all_data
anandamide	2	0.04 uM	0.528	-9.34702073893404e-05	Cell Painting	spherized	all_data
andrographolide	5	0.04 uM	0.0	0.1524289851040733	Cell Painting	spherized	all_data
anecortave-acetate	5	0.04 uM	0.0	0.0931912441176275	Cell Painting	spherized	all_data
anidulafungin	5	0.04 uM	0.563	-0.0007357042312592	Cell Painting	spherized	all_data
aniracetam	5	0.04 uM	0.106	0.0216451198367483	Cell Painting	spherized	all_data
anisodamine	5	0.04 uM	0.0	0.0592757405301039	Cell Painting	spherized	all_data
ap26113	5	0.04 uM	0.0	0.097643483691374	Cell Painting	spherized	all_data
apafant	5	0.04 uM	0.675	-0.0049681956072299	Cell Painting	spherized	all_data
apd668	5	0.04 uM	0.0	0.0833961320395548	Cell Painting	spherized	all_data
aphidicolin	5	0.04 uM	0.0	0.2698931887214066	Cell Painting	spherized	all_data
api-001	5	0.04 uM	0.065	0.0268541531137761	Cell Painting	spherized	all_data
apremilast	5	0.04 uM	0.209	0.0147225381420159	Cell Painting	spherized	all_data
aprepitant	5	0.04 uM	0.011	0.0403387148542399	Cell Painting	spherized	all_data
arbutin	5	0.04 uM	0.011	0.0407670948102715	Cell Painting	spherized	all_data
argatroban	5	0.04 uM	0.002	0.0528795963794513	Cell Painting	spherized	all_data
arglabin	5	0.04 uM	0.007	0.0453814588725273	Cell Painting	spherized	all_data
aripiprazole	5	0.04 uM	0.0	0.1293686979346491	Cell Painting	spherized	all_data
arofylline	5	0.04 uM	0.5	0.0017780061038234	Cell Painting	spherized	all_data
arry-334543	5	0.04 uM	0.0	0.0576620596184408	Cell Painting	spherized	all_data
artesunate	5	0.04 uM	0.0	0.077832116833713	Cell Painting	spherized	all_data
asa-404	5	0.04 uM	0.022	0.0357441061843831	Cell Painting	spherized	all_data
asenapine	5	0.04 uM	0.294	0.0103884158951295	Cell Painting	spherized	all_data
aspirin	5	0.04 uM	0.0	0.0714386472649466	Cell Painting	spherized	all_data
at13387	5	0.04 uM	0.0	0.6110070818248381	Cell Painting	spherized	all_data
ataluren	5	0.04 uM	0.0	0.0672478662940251	Cell Painting	spherized	all_data
atenolol	5	0.04 uM	0.105	0.0217184082179722	Cell Painting	spherized	all_data
atipamezole	2	0.04 uM	0.151	0.045806201199498	Cell Painting	spherized	all_data
atn-161	4	0.04 uM	0.053	0.0334672526426985	Cell Painting	spherized	all_data
atomoxetine	5	0.04 uM	0.007	0.0449389295936085	Cell Painting	spherized	all_data
atorvastatin	5	0.04 uM	0.14	0.0188864448583931	Cell Painting	spherized	all_data
atracurium	5	0.04 uM	0.0	0.1048834639369062	Cell Painting	spherized	all_data
atrasentan	5	0.04 uM	0.0	0.0879592202993097	Cell Painting	spherized	all_data
av-608	5	0.04 uM	0.0	0.0611178927020339	Cell Painting	spherized	all_data
avagacestat	5	0.04 uM	0.026	0.0345191410029688	Cell Painting	spherized	all_data
avanafil	5	0.04 uM	0.298	0.0100746562491312	Cell Painting	spherized	all_data
avasimibe	5	0.04 uM	0.009	0.0429429803292084	Cell Painting	spherized	all_data
azacitidine	5	0.04 uM	0.0	0.1107767775414633	Cell Painting	spherized	all_data
azathioprine	5	0.04 uM	0.0	0.0880124304312781	Cell Painting	spherized	all_data
azd1208	5	0.04 uM	0.001	0.0566822202631716	Cell Painting	spherized	all_data
azd1480	5	0.04 uM	0.0	0.1436603185653315	Cell Painting	spherized	all_data
azd1981	5	0.04 uM	0.052	0.0290689112883123	Cell Painting	spherized	all_data
azd2014	5	0.04 uM	0.0	0.0806703612355301	Cell Painting	spherized	all_data
azd3514	5	0.04 uM	0.0	0.1109192156136862	Cell Painting	spherized	all_data
azd4547	5	0.04 uM	0.0	0.0694870644963889	Cell Painting	spherized	all_data
azd5363	5	0.04 uM	0.012	0.0398358870340359	Cell Painting	spherized	all_data
azd7545	5	0.04 uM	0.02	0.0362643771695528	Cell Painting	spherized	all_data
azd7687	5	0.04 uM	0.22	0.013872538240442	Cell Painting	spherized	all_data
azd8931	5	0.04 uM	0.0	0.0742255162303927	Cell Painting	spherized	all_data
azd9668	5	0.04 uM	0.0	0.058419776408139	Cell Painting	spherized	all_data
azelaic-acid	5	0.04 uM	0.057	0.0282119856476929	Cell Painting	spherized	all_data
azelastine	5	0.04 uM	0.313	0.0095360483720743	Cell Painting	spherized	all_data
balaglitazone	4	0.04 uM	0.601	-0.0025707257485158	Cell Painting	spherized	all_data
balapiravir	5	0.04 uM	0.0	0.082236909792103	Cell Painting	spherized	all_data
balsalazide	2	0.04 uM	0.443	0.0078254017431987	Cell Painting	spherized	all_data
bambuterol	5	0.04 uM	0.0	0.0826369561900578	Cell Painting	spherized	all_data
bardoxolone-methyl	5	0.04 uM	0.0	0.4954633456999762	Cell Painting	spherized	all_data
basimglurant	5	0.04 uM	0.095	0.0225561830468206	Cell Painting	spherized	all_data
bavisant	5	0.04 uM	0.26	0.0117439176691055	Cell Painting	spherized	all_data
bay-87-2243	5	0.04 uM	0.0	0.2628050024516752	Cell Painting	spherized	all_data
bazedoxifene	5	0.04 uM	0.017	0.0373456023889402	Cell Painting	spherized	all_data
bci-540	5	0.04 uM	0.172	0.0169706449902236	Cell Painting	spherized	all_data
beclomethasone-dipropionate	5	0.04 uM	0.0	0.482074761168526	Cell Painting	spherized	all_data
belinostat	5	0.04 uM	0.0	0.1378039268654969	Cell Painting	spherized	all_data
bemegride	5	0.04 uM	0.0	0.0683702857563536	Cell Painting	spherized	all_data
benazepril	5	0.04 uM	0.017	0.036768807975206	Cell Painting	spherized	all_data
bendamustine	5	0.04 uM	0.06	0.0278993239024119	Cell Painting	spherized	all_data
bendroflumethiazide	5	0.04 uM	0.094	0.0227167943208173	Cell Painting	spherized	all_data
benzthiazide	5	0.04 uM	0.0	0.1086115876940247	Cell Painting	spherized	all_data
benzydamine	5	0.04 uM	0.004	0.0479694153392675	Cell Painting	spherized	all_data
benzylpenicillin	5	0.04 uM	0.0	0.1803631419143661	Cell Painting	spherized	all_data
bepotastine	5	0.04 uM	0.003	0.0490432527615877	Cell Painting	spherized	all_data
berberine	5	0.04 uM	0.212	0.0145536268816648	Cell Painting	spherized	all_data
betahistine	5	0.04 uM	0.0	0.0669947491154651	Cell Painting	spherized	all_data
betulinic-acid	2	0.04 uM	0.18	0.0405355342805308	Cell Painting	spherized	all_data
bevirimat-dimeglumine	5	0.04 uM	0.0	0.1062920906391049	Cell Painting	spherized	all_data
bezafibrate	5	0.04 uM	0.0	0.0697230608959301	Cell Painting	spherized	all_data
bicalutamide	5	0.04 uM	0.369	0.0071933504198917	Cell Painting	spherized	all_data
bifonazole	5	0.04 uM	0.033	0.0317131664631916	Cell Painting	spherized	all_data
bimatoprost	5	0.04 uM	0.0	0.071721900967139	Cell Painting	spherized	all_data
bindarit	5	0.04 uM	0.0	0.0754291121504414	Cell Painting	spherized	all_data
biperiden	4	0.04 uM	0.102	0.026992874520081	Cell Painting	spherized	all_data
birinapant	5	0.04 uM	0.0	0.1158022260834693	Cell Painting	spherized	all_data
bisindolylmaleimide	5	0.04 uM	0.002	0.0506389249174862	Cell Painting	spherized	all_data
bisoprolol	5	0.04 uM	0.025	0.0349279778068345	Cell Painting	spherized	all_data
bitopertin	5	0.04 uM	0.031	0.0322741866020859	Cell Painting	spherized	all_data
blonanserin	5	0.04 uM	0.001	0.0545577385345275	Cell Painting	spherized	all_data
bms-599626	5	0.04 uM	0.062	0.0276269270040343	Cell Painting	spherized	all_data
bms-707035	5	0.04 uM	0.0	0.1400161660420496	Cell Painting	spherized	all_data
bopindolol	5	0.04 uM	0.0	0.276742234712687	Cell Painting	spherized	all_data
bortezomib	5	0.04 uM	0.0	0.4563415978026296	Cell Painting	spherized	all_data
bosentan	5	0.04 uM	0.088	0.0236144888705485	Cell Painting	spherized	all_data
bosutinib	5	0.04 uM	0.0	0.1279255392676305	Cell Painting	spherized	all_data
brequinar	5	0.04 uM	0.0	0.1586472607522129	Cell Painting	spherized	all_data
bretazenil	5	0.04 uM	0.706	-0.0067925446890492	Cell Painting	spherized	all_data
brexpiprazole	4	0.04 uM	0.529	0.0005768868078407	Cell Painting	spherized	all_data
brivanib	5	0.04 uM	0.069	0.026427022919559	Cell Painting	spherized	all_data
brivudine	5	0.04 uM	0.001	0.0558703648016472	Cell Painting	spherized	all_data
bromocriptine	5	0.04 uM	0.075	0.0255355082681209	Cell Painting	spherized	all_data
broxuridine	5	0.04 uM	0.0	0.3735212313899211	Cell Painting	spherized	all_data
bruceantin	5	0.04 uM	0.0	0.6231579245244048	Cell Painting	spherized	all_data
bts-54505	5	0.04 uM	0.305	0.0098523364375159	Cell Painting	spherized	all_data
bumetanide	5	0.04 uM	0.009	0.0430880666702993	Cell Painting	spherized	all_data
bupivacaine	4	0.04 uM	0.558	-0.0006541241792479	Cell Painting	spherized	all_data
bupropion	5	0.04 uM	0.002	0.0520183287235536	Cell Painting	spherized	all_data
buspirone	5	0.04 uM	0.079	0.0248854964516807	Cell Painting	spherized	all_data
butoconazole	5	0.04 uM	0.0	0.0660407611999673	Cell Painting	spherized	all_data
butorphanol-(+)-tartrate	2	0.04 uM	0.414	0.0120939134332123	Cell Painting	spherized	all_data
bvd-523	5	0.04 uM	0.0	0.0611635226292642	Cell Painting	spherized	all_data
cabazitaxel	5	0.04 uM	0.0	0.552364189122346	Cell Painting	spherized	all_data
cabozantinib	5	0.04 uM	0.079	0.0249087641620562	Cell Painting	spherized	all_data
caffeine	4	0.04 uM	0.052	0.0337520120484592	Cell Painting	spherized	all_data
calcitriol	5	0.04 uM	0.0	0.062773003748576	Cell Painting	spherized	all_data
camicinal	5	0.04 uM	0.022	0.0356488983449676	Cell Painting	spherized	all_data
camptothecin	2	0.04 uM	0.0	0.3889442724476196	Cell Painting	spherized	all_data
canagliflozin	5	0.04 uM	0.151	0.0181636930358364	Cell Painting	spherized	all_data
candesartan	5	0.04 uM	0.0	0.0636869000004172	Cell Painting	spherized	all_data
canertinib	5	0.04 uM	0.0	0.1259113305316601	Cell Painting	spherized	all_data
canrenoic-acid	5	0.04 uM	0.027	0.0343372603645627	Cell Painting	spherized	all_data
capecitabine	5	0.04 uM	0.254	0.0120147364610764	Cell Painting	spherized	all_data
carbachol	5	0.04 uM	0.003	0.0488695767539814	Cell Painting	spherized	all_data
carbamazepine	5	0.04 uM	0.008	0.0446089406839787	Cell Painting	spherized	all_data
carbenoxolone	5	0.04 uM	0.002	0.0511273061260367	Cell Painting	spherized	all_data
carbimazole	5	0.04 uM	0.288	0.010596437130992	Cell Painting	spherized	all_data
carglumic-acid	5	0.04 uM	0.0	0.1437092301823164	Cell Painting	spherized	all_data
cariprazine	5	0.04 uM	0.0	0.0844301320265301	Cell Painting	spherized	all_data
carisoprodol	5	0.04 uM	0.0	0.1001027725274895	Cell Painting	spherized	all_data
carprofen	5	0.04 uM	0.0	0.0646897000248314	Cell Painting	spherized	all_data
carvedilol	5	0.04 uM	0.01	0.0425992466228468	Cell Painting	spherized	all_data
cb-10-277-(free-acid)	5	0.04 uM	0.0	0.1030176759249711	Cell Painting	spherized	all_data
cc-401	5	0.04 uM	0.002	0.0502265965760083	Cell Painting	spherized	all_data
cc-930	5	0.04 uM	0.093	0.0231699266398434	Cell Painting	spherized	all_data
cediranib	5	0.04 uM	0.0	0.0758745872258254	Cell Painting	spherized	all_data
cefdinir	5	0.04 uM	0.327	0.0088608180232804	Cell Painting	spherized	all_data
cefoperazone	4	0.04 uM	0.0	0.0785900884894426	Cell Painting	spherized	all_data
cefotetan	5	0.04 uM	0.0	0.0783646617659713	Cell Painting	spherized	all_data
cefozopran	5	0.04 uM	0.0	0.0978153503010181	Cell Painting	spherized	all_data
celecoxib	4	0.04 uM	0.029	0.0419254909867642	Cell Painting	spherized	all_data
cep-37440	5	0.04 uM	0.499	0.0019852972644631	Cell Painting	spherized	all_data
cepharanthine	5	0.04 uM	0.0	0.0983586167465094	Cell Painting	spherized	all_data
cgp12177	2	0.04 uM	0.715	-0.0204736378257226	Cell Painting	spherized	all_data
chlorambucil	5	0.04 uM	0.002	0.0521003675460796	Cell Painting	spherized	all_data
chlormezanone	5	0.04 uM	0.021	0.0359182207861115	Cell Painting	spherized	all_data
chloroxine	5	0.04 uM	0.011	0.0423768622878849	Cell Painting	spherized	all_data
chlorphenamine	5	0.04 uM	0.246	0.0124528329851905	Cell Painting	spherized	all_data
chlorpromazine	5	0.04 uM	0.59	-0.0017690025438173	Cell Painting	spherized	all_data
chlortalidone	5	0.04 uM	0.003	0.0489670768541011	Cell Painting	spherized	all_data
cholic-acid	2	0.04 uM	0.273	0.0284848673987741	Cell Painting	spherized	all_data
choline-alfoscerate	5	0.04 uM	0.0	0.0784572406880342	Cell Painting	spherized	all_data
cianidanol	5	0.04 uM	0.011	0.041522155049917	Cell Painting	spherized	all_data
ciclesonide	5	0.04 uM	0.0	0.4903201871091144	Cell Painting	spherized	all_data
ciglitazone	5	0.04 uM	0.017	0.0370881058180258	Cell Painting	spherized	all_data
cilengitide	5	0.04 uM	0.0	0.0577690083807549	Cell Painting	spherized	all_data
cilomilast	2	0.04 uM	0.602	-0.0076637534721219	Cell Painting	spherized	all_data
cilostazol	5	0.04 uM	0.0	0.0964317764373368	Cell Painting	spherized	all_data
cimetidine	5	0.04 uM	0.009	0.043831519335233	Cell Painting	spherized	all_data
cinepazide	5	0.04 uM	0.0	0.1484155795314545	Cell Painting	spherized	all_data
cinnarizine	5	0.04 uM	0.033	0.031837920310187	Cell Painting	spherized	all_data
cinoxacin	5	0.04 uM	0.0	0.1040154588578495	Cell Painting	spherized	all_data
ciprofloxacin	5	0.04 uM	0.028	0.0332473155090607	Cell Painting	spherized	all_data
cisapride	5	0.04 uM	0.0	0.0732221958778833	Cell Painting	spherized	all_data
citalopram	5	0.04 uM	0.228	0.0135261326080137	Cell Painting	spherized	all_data
cladribine	5	0.04 uM	0.675	-0.0050333910226732	Cell Painting	spherized	all_data
clarithromycin	5	0.04 uM	0.001	0.0568389429550352	Cell Painting	spherized	all_data
clenbuterol	5	0.04 uM	0.682	-0.0054519843135239	Cell Painting	spherized	all_data
clinafloxacin	5	0.04 uM	0.274	0.0113071519614516	Cell Painting	spherized	all_data
clindamycin	5	0.04 uM	0.0	0.1611983774443955	Cell Painting	spherized	all_data
clinofibrate	5	0.04 uM	0.005	0.0474166661462092	Cell Painting	spherized	all_data
clioquinol	5	0.04 uM	0.298	0.0102337098672458	Cell Painting	spherized	all_data
clobetasol	5	0.04 uM	0.0	0.4848129981784414	Cell Painting	spherized	all_data
clofarabine	5	0.04 uM	0.0	0.1398809299838409	Cell Painting	spherized	all_data
clofazimine	5	0.04 uM	0.01	0.0425592178713822	Cell Painting	spherized	all_data
clofoctol	4	0.04 uM	0.0	0.0867036867281623	Cell Painting	spherized	all_data
clomethiazole	5	0.04 uM	0.007	0.0453386335011929	Cell Painting	spherized	all_data
clomifene	5	0.04 uM	0.0	0.0616072765229161	Cell Painting	spherized	all_data
clonazepam	2	0.04 uM	0.826	-0.0362756470862564	Cell Painting	spherized	all_data
clonidine	5	0.04 uM	0.0	0.0613267008056994	Cell Painting	spherized	all_data
clotrimazole	5	0.04 uM	0.0	0.1476493122062049	Cell Painting	spherized	all_data
co-102862	5	0.04 uM	0.0	0.0738109907101956	Cell Painting	spherized	all_data
cobimetinib	4	0.04 uM	0.0	0.0811589165927992	Cell Painting	spherized	all_data
colforsin-daproate	5	0.04 uM	0.009	0.0439538195354885	Cell Painting	spherized	all_data
combretastatin-a-4	5	0.04 uM	0.0	0.4217859129403569	Cell Painting	spherized	all_data
cordycepin	5	0.04 uM	0.246	0.0123880299323619	Cell Painting	spherized	all_data
cp-945,598	5	0.04 uM	0.0	0.0820826914685788	Cell Painting	spherized	all_data
cpi-1189	5	0.04 uM	0.053	0.0289605762697486	Cell Painting	spherized	all_data
cpi-613	5	0.04 uM	0.103	0.0220178520847074	Cell Painting	spherized	all_data
cromoglicic-acid	5	0.04 uM	0.093	0.0228429842870156	Cell Painting	spherized	all_data
curcumin	5	0.04 uM	0.0	0.0614545217301493	Cell Painting	spherized	all_data
cx-4945	5	0.04 uM	0.025	0.0350715389875601	Cell Painting	spherized	all_data
cx-5461	5	0.04 uM	0.0	0.0885645927841095	Cell Painting	spherized	all_data
cx516	5	0.04 uM	0.189	0.0160986238831304	Cell Painting	spherized	all_data
cyclobenzaprine	2	0.04 uM	0.813	-0.0341858999920465	Cell Painting	spherized	all_data
cyclosporin-a	5	0.04 uM	0.0	0.4196020883104542	Cell Painting	spherized	all_data
cyproheptadine	5	0.04 uM	0.033	0.0317503985352376	Cell Painting	spherized	all_data
cyproterone-acetate	5	0.04 uM	0.007	0.0454366085364593	Cell Painting	spherized	all_data
cytarabine	5	0.04 uM	0.167	0.0172440255959053	Cell Painting	spherized	all_data
d-serine	5	0.04 uM	0.287	0.0106257764840916	Cell Painting	spherized	all_data
dabigatran-etexilate	5	0.04 uM	0.176	0.0167847779450686	Cell Painting	spherized	all_data
dabrafenib	5	0.04 uM	0.0	0.1431819726634055	Cell Painting	spherized	all_data
dacarbazine	5	0.04 uM	0.014	0.0390586589941079	Cell Painting	spherized	all_data
dacinostat	5	0.04 uM	0.0	0.6220518169780006	Cell Painting	spherized	all_data
dacomitinib	5	0.04 uM	0.0	0.175062940243311	Cell Painting	spherized	all_data
danegaptide	5	0.04 uM	0.007	0.0458845538726423	Cell Painting	spherized	all_data
dantrolene	5	0.04 uM	0.449	0.0041142281179066	Cell Painting	spherized	all_data
dapagliflozin	5	0.04 uM	0.093	0.0229457245091506	Cell Painting	spherized	all_data
dapivirine	5	0.04 uM	0.0	0.1058977592571183	Cell Painting	spherized	all_data
dapsone	5	0.04 uM	0.0	0.0648979283141998	Cell Painting	spherized	all_data
darifenacin	5	0.04 uM	0.0	0.0671730655658582	Cell Painting	spherized	all_data
darunavir	5	0.04 uM	0.17	0.0170209165838576	Cell Painting	spherized	all_data
dasabuvir	4	0.04 uM	0.269	0.0140647131710624	Cell Painting	spherized	all_data
dasatinib	5	0.04 uM	0.0	0.370226342246598	Cell Painting	spherized	all_data
dazoxiben	5	0.04 uM	0.002	0.0517055766488414	Cell Painting	spherized	all_data
decitabine	5	0.04 uM	0.0	0.2124590066412429	Cell Painting	spherized	all_data
defactinib	2	0.04 uM	0.657	-0.0132093289356575	Cell Painting	spherized	all_data
deferasirox	5	0.04 uM	0.0	0.2049858329175207	Cell Painting	spherized	all_data
deferiprone	5	0.04 uM	0.008	0.0446569340741676	Cell Painting	spherized	all_data
deforolimus	5	0.04 uM	0.0	0.5067268389980322	Cell Painting	spherized	all_data
dehydroepiandrosterone	5	0.04 uM	0.013	0.0395786365489167	Cell Painting	spherized	all_data
delanzomib	5	0.04 uM	0.0	0.5895331328918912	Cell Painting	spherized	all_data
delivert	5	0.04 uM	0.079	0.024895890646834	Cell Painting	spherized	all_data
dequalinium	5	0.04 uM	0.0	0.1422438363613041	Cell Painting	spherized	all_data
desmopressin-acetate	5	0.04 uM	0.0	0.0628585615843901	Cell Painting	spherized	all_data
dexamethasone	10	0.04 uM	0.0	0.3735441271994871	Cell Painting	spherized	all_data
dexfenfluramine	5	0.04 uM	0.005	0.0470096306284602	Cell Painting	spherized	all_data
dexniguldipine	2	0.04 uM	0.298	0.0251748585341767	Cell Painting	spherized	all_data
dextromethorphan	5	0.04 uM	0.014	0.0391795246542636	Cell Painting	spherized	all_data
diacerein	5	0.04 uM	0.028	0.0332878607619864	Cell Painting	spherized	all_data
diazepam	5	0.04 uM	0.0	0.0819118020109845	Cell Painting	spherized	all_data
diclofenac	5	0.04 uM	0.212	0.0145718058030761	Cell Painting	spherized	all_data
diclofensine	5	0.04 uM	0.0	0.0820521379209839	Cell Painting	spherized	all_data
dicloxacillin	5	0.04 uM	0.295	0.0103576215395393	Cell Painting	spherized	all_data
dicoumarol	5	0.04 uM	0.0	0.0804316672591832	Cell Painting	spherized	all_data
dideoxyadenosine	5	0.04 uM	0.0	0.0757823184194147	Cell Painting	spherized	all_data
dienogest	5	0.04 uM	0.028	0.0335981963903919	Cell Painting	spherized	all_data
diethylcarbamazine	5	0.04 uM	0.011	0.0403184411715422	Cell Painting	spherized	all_data
diethylstilbestrol	5	0.04 uM	0.031	0.0326700652864295	Cell Painting	spherized	all_data
diflunisal	5	0.04 uM	0.001	0.0530135541817162	Cell Painting	spherized	all_data
dihydroergocristine	5	0.04 uM	0.508	0.0014830989952433	Cell Painting	spherized	all_data
dihydroergotamine	5	0.04 uM	0.0	0.090898641741754	Cell Painting	spherized	all_data
dilazep	5	0.04 uM	0.0	0.14765782320186	Cell Painting	spherized	all_data
diltiazem	5	0.04 uM	0.005	0.0471777560904101	Cell Painting	spherized	all_data
dimesna	5	0.04 uM	0.002	0.0520758755534936	Cell Painting	spherized	all_data
diminazene-aceturate	5	0.04 uM	0.016	0.0389880833349088	Cell Painting	spherized	all_data
dinaciclib	5	0.04 uM	0.0	0.3704117872296961	Cell Painting	spherized	all_data
diosmin	5	0.04 uM	0.363	0.0074113829575192	Cell Painting	spherized	all_data
diphenidol	4	0.04 uM	0.124	0.0243479860772578	Cell Painting	spherized	all_data
dipraglurant	5	0.04 uM	0.002	0.0500032550623167	Cell Painting	spherized	all_data
disopyramide	5	0.04 uM	0.0	0.0594095138843695	Cell Painting	spherized	all_data
disulfiram	5	0.04 uM	0.0	0.1271194805502324	Cell Painting	spherized	all_data
dmp-777	5	0.04 uM	0.108	0.0212798141986368	Cell Painting	spherized	all_data
docetaxel	5	0.04 uM	0.0	0.6110356221358966	Cell Painting	spherized	all_data
dofequidar	5	0.04 uM	0.0	0.0820114340370185	Cell Painting	spherized	all_data
donepezil	5	0.04 uM	0.031	0.0321974920775544	Cell Painting	spherized	all_data
donitriptan	5	0.04 uM	0.002	0.0504643706283709	Cell Painting	spherized	all_data
dopamine	2	0.04 uM	0.105	0.0566012238399771	Cell Painting	spherized	all_data
