compound	no_of_replicates	dose	p_value	matching_score	assay	normalization	category
agi-6780	2	0.04 uM	0.566	-0.0017878843103402	Cell Painting	spherized	subsampled
agomelatine	3	0.04 uM	0.095	0.0412711844079148	Cell Painting	spherized	subsampled
agp-103	3	0.04 uM	0.909	-0.0345505282930418	Cell Painting	spherized	subsampled
alaproclate	3	0.04 uM	0.065	0.0480088070452829	Cell Painting	spherized	subsampled
albendazole	3	0.04 uM	0.026	0.0595395456407614	Cell Painting	spherized	subsampled
alectinib	3	0.04 uM	0.003	0.0806677598061586	Cell Painting	spherized	subsampled
alisertib	2	0.04 uM	0.006	0.1587528308191143	Cell Painting	spherized	subsampled
aliskiren	3	0.04 uM	0.976	-0.0532800345046061	Cell Painting	spherized	subsampled
alizapride	3	0.04 uM	0.0	0.1022154126729735	Cell Painting	spherized	subsampled
allopurinol	3	0.04 uM	0.0	0.0879911788178439	Cell Painting	spherized	subsampled
almitrine	3	0.04 uM	0.018	0.0640491000217564	Cell Painting	spherized	subsampled
almorexant	3	0.04 uM	0.161	0.0305630776168217	Cell Painting	spherized	subsampled
altanserin	3	0.04 uM	0.157	0.0312669779413189	Cell Painting	spherized	subsampled
altrenogest	3	0.04 uM	0.0	0.2676851416866246	Cell Painting	spherized	subsampled
altretamine	3	0.04 uM	0.001	0.0828592099384805	Cell Painting	spherized	subsampled
alvespimycin	3	0.04 uM	0.0	0.6591074651324452	Cell Painting	spherized	subsampled
alvimopan	3	0.04 uM	0.0	0.6377484989172588	Cell Painting	spherized	subsampled
alvocidib	3	0.04 uM	0.0	0.2018888068408304	Cell Painting	spherized	subsampled
am-24	3	0.04 uM	0.066	0.0474812512408151	Cell Painting	spherized	subsampled
amantadine	3	0.04 uM	0.0	0.1257989713041549	Cell Painting	spherized	subsampled
ambrisentan	2	0.04 uM	0.546	-0.0001519409689981	Cell Painting	spherized	subsampled
ambroxol	2	0.04 uM	0.005	0.1789336517178932	Cell Painting	spherized	subsampled
amd11070	2	0.04 uM	0.27	0.0320785375851837	Cell Painting	spherized	subsampled
amg-208	3	0.04 uM	0.0	0.0983343273509128	Cell Painting	spherized	subsampled
amg-232	3	0.04 uM	0.098	0.0402413536913482	Cell Painting	spherized	subsampled
amg-517	3	0.04 uM	0.004	0.0744351810491479	Cell Painting	spherized	subsampled
amikacin	3	0.04 uM	0.005	0.072776887385006	Cell Painting	spherized	subsampled
amiloride	3	0.04 uM	0.789	-0.0187205143923936	Cell Painting	spherized	subsampled
aminocaproic-acid	3	0.04 uM	0.285	0.0200147554852036	Cell Painting	spherized	subsampled
aminoglutethimide	3	0.04 uM	0.034	0.0578190443552853	Cell Painting	spherized	subsampled
aminoguanidine	3	0.04 uM	0.15	0.0326572662061304	Cell Painting	spherized	subsampled
aminolevulinic-acid	3	0.04 uM	0.01	0.0682331253817507	Cell Painting	spherized	subsampled
aminosalicylic-acid	3	0.04 uM	0.012	0.0666795428855811	Cell Painting	spherized	subsampled
amiodarone	3	0.04 uM	0.299	0.018601401132611	Cell Painting	spherized	subsampled
amiprilose	3	0.04 uM	0.021	0.0628103172696388	Cell Painting	spherized	subsampled
amitifadine	3	0.04 uM	0.183	0.0284699776685464	Cell Painting	spherized	subsampled
amlexanox	3	0.04 uM	0.0	0.1168636027014918	Cell Painting	spherized	subsampled
amlodipine	3	0.04 uM	0.169	0.0299532772988231	Cell Painting	spherized	subsampled
ammonium-glycyrrhizinate	3	0.04 uM	0.398	0.0103507761979806	Cell Painting	spherized	subsampled
amonafide	3	0.04 uM	0.205	0.0262618747037356	Cell Painting	spherized	subsampled
amoxapine	4	0.04 uM	0.001	0.104244170683162	Cell Painting	spherized	subsampled
ampalex	2	0.04 uM	0.166	0.0488520768663131	Cell Painting	spherized	subsampled
amrinone	3	0.04 uM	0.298	0.0186496201879696	Cell Painting	spherized	subsampled
amsacrine	3	0.04 uM	0.0	0.3759486702285078	Cell Painting	spherized	subsampled
amtolmetin-guacil	3	0.04 uM	0.795	-0.0196361475977103	Cell Painting	spherized	subsampled
amuvatinib	2	0.04 uM	0.05	0.0851718079659679	Cell Painting	spherized	subsampled
anamorelin	4	0.04 uM	0.012	0.0565067905572046	Cell Painting	spherized	subsampled
anandamide	2	0.04 uM	0.546	-9.34702073893404e-05	Cell Painting	spherized	subsampled
andrographolide	3	0.04 uM	0.0	0.2132010690743305	Cell Painting	spherized	subsampled
anecortave-acetate	2	0.04 uM	0.05	0.0854898053935929	Cell Painting	spherized	subsampled
anidulafungin	3	0.04 uM	0.454	0.006424429609293	Cell Painting	spherized	subsampled
aniracetam	3	0.04 uM	0.702	-0.010887990038342	Cell Painting	spherized	subsampled
anisodamine	2	0.04 uM	0.085	0.0689203494493147	Cell Painting	spherized	subsampled
ap26113	2	0.04 uM	0.1	0.0650919815934509	Cell Painting	spherized	subsampled
apafant	3	0.04 uM	0.082	0.0441310295523241	Cell Painting	spherized	subsampled
apd668	3	0.04 uM	0.218	0.0253037006588276	Cell Painting	spherized	subsampled
aphidicolin	3	0.04 uM	0.0	0.2486291973994498	Cell Painting	spherized	subsampled
api-001	3	0.04 uM	0.121	0.0367542552471974	Cell Painting	spherized	subsampled
apixaban	3	0.04 uM	0.0	0.1350973546195983	Cell Painting	spherized	subsampled
apocynin	3	0.04 uM	0.0	0.1254298952400043	Cell Painting	spherized	subsampled
apremilast	3	0.04 uM	0.037	0.0562196401871116	Cell Painting	spherized	subsampled
aprepitant	3	0.04 uM	0.043	0.0527800763875988	Cell Painting	spherized	subsampled
arbutin	3	0.04 uM	0.804	-0.0204240966604421	Cell Painting	spherized	subsampled
argatroban	3	0.04 uM	0.034	0.0579452734597167	Cell Painting	spherized	subsampled
arglabin	2	0.04 uM	0.085	0.0686736667695013	Cell Painting	spherized	subsampled
aripiprazole	3	0.04 uM	0.003	0.0783343203302899	Cell Painting	spherized	subsampled
arofylline	3	0.04 uM	0.04	0.0547699284268748	Cell Painting	spherized	subsampled
arry-334543	3	0.04 uM	0.03	0.058846257446982	Cell Painting	spherized	subsampled
artesunate	3	0.04 uM	0.115	0.0375107479223394	Cell Painting	spherized	subsampled
asa-404	3	0.04 uM	0.591	-0.0023717129500713	Cell Painting	spherized	subsampled
asc-j9	3	0.04 uM	0.063	0.0484920620250234	Cell Painting	spherized	subsampled
asenapine	3	0.04 uM	0.404	0.0100169713670097	Cell Painting	spherized	subsampled
aspirin	3	0.04 uM	0.067	0.0472579386576309	Cell Painting	spherized	subsampled
at13387	3	0.04 uM	0.0	0.1660434194605207	Cell Painting	spherized	subsampled
ataluren	2	0.04 uM	0.053	0.0819959058909434	Cell Painting	spherized	subsampled
atenolol	2	0.04 uM	0.037	0.0927199670303762	Cell Painting	spherized	subsampled
atipamezole	2	0.04 uM	0.184	0.045806201199498	Cell Painting	spherized	subsampled
atn-161	3	0.04 uM	0.165	0.0302327412489362	Cell Painting	spherized	subsampled
atomoxetine	3	0.04 uM	0.754	-0.0152984221523449	Cell Painting	spherized	subsampled
atorvastatin	3	0.04 uM	0.005	0.0731693069947672	Cell Painting	spherized	subsampled
atracurium	3	0.04 uM	0.0	0.1120886113719608	Cell Painting	spherized	subsampled
atrasentan	3	0.04 uM	0.021	0.0627308755675098	Cell Painting	spherized	subsampled
av-608	3	0.04 uM	0.0	0.1624363125322449	Cell Painting	spherized	subsampled
avagacestat	3	0.04 uM	0.99	-0.0612112732463095	Cell Painting	spherized	subsampled
avanafil	2	0.04 uM	0.915	-0.0492076675697568	Cell Painting	spherized	subsampled
avasimibe	3	0.04 uM	0.0	0.1129466062543786	Cell Painting	spherized	subsampled
avl-292	3	0.04 uM	0.0	0.1229358152292877	Cell Painting	spherized	subsampled
avn-944	3	0.04 uM	0.003	0.0787663991819092	Cell Painting	spherized	subsampled
azacitidine	2	0.04 uM	0.029	0.100721730989915	Cell Painting	spherized	subsampled
azathioprine	3	0.04 uM	0.007	0.0716215430534627	Cell Painting	spherized	subsampled
azd1208	3	0.04 uM	0.003	0.0807231873969659	Cell Painting	spherized	subsampled
azd1480	3	0.04 uM	0.004	0.0742214602937621	Cell Painting	spherized	subsampled
azd1981	3	0.04 uM	0.372	0.0122784285208438	Cell Painting	spherized	subsampled
azd2014	3	0.04 uM	0.005	0.0733971294259072	Cell Painting	spherized	subsampled
azd3514	2	0.04 uM	0.006	0.1605768523375711	Cell Painting	spherized	subsampled
azd4547	2	0.04 uM	0.058	0.0803302172266048	Cell Painting	spherized	subsampled
azd5363	3	0.04 uM	0.16	0.0306951642736939	Cell Painting	spherized	subsampled
azd7545	3	0.04 uM	0.93	-0.0378378550022221	Cell Painting	spherized	subsampled
azd7687	3	0.04 uM	0.523	0.0021762201211015	Cell Painting	spherized	subsampled
azd7762	3	0.04 uM	0.07	0.0467887123501331	Cell Painting	spherized	subsampled
azd8931	3	0.04 uM	0.036	0.0565719685565496	Cell Painting	spherized	subsampled
azd9668	3	0.04 uM	0.005	0.0738041381644652	Cell Painting	spherized	subsampled
azelaic-acid	3	0.04 uM	0.609	-0.003803979479835	Cell Painting	spherized	subsampled
azelastine	3	0.04 uM	0.0	0.0830559063305834	Cell Painting	spherized	subsampled
balaglitazone	4	0.04 uM	0.648	-0.0025707257485158	Cell Painting	spherized	subsampled
balapiravir	2	0.04 uM	0.423	0.0143096117235467	Cell Painting	spherized	subsampled
balicatib	3	0.04 uM	0.914	-0.0350432114899672	Cell Painting	spherized	subsampled
balsalazide	2	0.04 uM	0.482	0.0078254017431987	Cell Painting	spherized	subsampled
bambuterol	3	0.04 uM	0.107	0.038633191650656	Cell Painting	spherized	subsampled
bardoxolone-methyl	2	0.04 uM	0.0	0.5615844126063176	Cell Painting	spherized	subsampled
basimglurant	3	0.04 uM	0.955	-0.0426357159684328	Cell Painting	spherized	subsampled
batimastat	2	0.04 uM	0.007	0.140705771835438	Cell Painting	spherized	subsampled
bavisant	2	0.04 uM	0.413	0.0162811735975914	Cell Painting	spherized	subsampled
bay-87-2243	3	0.04 uM	0.0	0.1503866091884719	Cell Painting	spherized	subsampled
bazedoxifene	3	0.04 uM	0.089	0.0430879026145666	Cell Painting	spherized	subsampled
bci-540	3	0.04 uM	0.77	-0.0167639543702843	Cell Painting	spherized	subsampled
beclomethasone-dipropionate	3	0.04 uM	0.0	0.5123344367432228	Cell Painting	spherized	subsampled
belinostat	3	0.04 uM	0.0	0.1350027607259483	Cell Painting	spherized	subsampled
bemegride	3	0.04 uM	0.0	0.1028835070092631	Cell Painting	spherized	subsampled
benazepril	3	0.04 uM	0.212	0.0259134410356313	Cell Painting	spherized	subsampled
bendamustine	3	0.04 uM	0.274	0.0208603579840342	Cell Painting	spherized	subsampled
bendroflumethiazide	2	0.04 uM	0.346	0.0227922717832088	Cell Painting	spherized	subsampled
benzbromarone	3	0.04 uM	0.0	0.4840283171425843	Cell Painting	spherized	subsampled
benzthiazide	3	0.04 uM	0.0	0.1014351212831123	Cell Painting	spherized	subsampled
benzydamine	2	0.04 uM	0.58	-0.0033508131277558	Cell Painting	spherized	subsampled
benzylpenicillin	2	0.04 uM	0.003	0.2695007725411003	Cell Painting	spherized	subsampled
bepotastine	3	0.04 uM	0.105	0.0394130367995986	Cell Painting	spherized	subsampled
berberine	3	0.04 uM	0.893	-0.031712057227362	Cell Painting	spherized	subsampled
betahistine	3	0.04 uM	0.007	0.0709772924935112	Cell Painting	spherized	subsampled
betulinic-acid	2	0.04 uM	0.21	0.0405355342805308	Cell Painting	spherized	subsampled
bevirimat-dimeglumine	3	0.04 uM	0.0	0.1079125343086509	Cell Painting	spherized	subsampled
bexarotene	3	0.04 uM	0.005	0.0725834178403083	Cell Painting	spherized	subsampled
bezafibrate	2	0.04 uM	0.169	0.0485130037086493	Cell Painting	spherized	subsampled
bicalutamide	3	0.04 uM	0.877	-0.0291632924968633	Cell Painting	spherized	subsampled
bifemelane	3	0.04 uM	0.0	0.1341428706015872	Cell Painting	spherized	subsampled
bifonazole	2	0.04 uM	0.098	0.0653099138787971	Cell Painting	spherized	subsampled
bimatoprost	3	0.04 uM	0.044	0.0518362259159877	Cell Painting	spherized	subsampled
bindarit	3	0.04 uM	0.198	0.0269035259388626	Cell Painting	spherized	subsampled
biperiden	3	0.04 uM	0.21	0.0260381311070594	Cell Painting	spherized	subsampled
birinapant	3	0.04 uM	0.0	0.1181693594537467	Cell Painting	spherized	subsampled
bisindolylmaleimide	2	0.04 uM	0.221	0.0392165923429949	Cell Painting	spherized	subsampled
bisoprolol	3	0.04 uM	0.111	0.0380932452588525	Cell Painting	spherized	subsampled
bitopertin	3	0.04 uM	0.026	0.0594373142126847	Cell Painting	spherized	subsampled
blonanserin	3	0.04 uM	0.001	0.0824291115837445	Cell Painting	spherized	subsampled
bms-599626	3	0.04 uM	0.0	0.0913339571038725	Cell Painting	spherized	subsampled
bms-707035	3	0.04 uM	0.266	0.0215437239172469	Cell Painting	spherized	subsampled
bms-927711	3	0.04 uM	0.3	0.0183022697552362	Cell Painting	spherized	subsampled
bopindolol	3	0.04 uM	0.0	0.1187224469901932	Cell Painting	spherized	subsampled
bortezomib	2	0.04 uM	0.0	0.9240459521947456	Cell Painting	spherized	subsampled
bosentan	2	0.04 uM	0.716	-0.0195501595571825	Cell Painting	spherized	subsampled
bosutinib	3	0.04 uM	0.0	0.096823708281584	Cell Painting	spherized	subsampled
brequinar	2	0.04 uM	0.003	0.2717139943124922	Cell Painting	spherized	subsampled
bretazenil	3	0.04 uM	0.747	-0.0147574868476482	Cell Painting	spherized	subsampled
brexpiprazole	3	0.04 uM	0.966	-0.0462297142452952	Cell Painting	spherized	subsampled
brivanib	3	0.04 uM	0.021	0.0608201088891261	Cell Painting	spherized	subsampled
brivudine	3	0.04 uM	0.005	0.0726179823506769	Cell Painting	spherized	subsampled
bromocriptine	3	0.04 uM	0.04	0.0553680207876489	Cell Painting	spherized	subsampled
broxuridine	3	0.04 uM	0.0	0.4968220990309364	Cell Painting	spherized	subsampled
bruceantin	2	0.04 uM	0.0	0.6970007986765409	Cell Painting	spherized	subsampled
bts-54505	3	0.04 uM	0.0	0.0853487857489829	Cell Painting	spherized	subsampled
bucladesine	3	0.04 uM	0.0	0.7511606028245048	Cell Painting	spherized	subsampled
budipine	2	0.04 uM	0.006	0.142248446483762	Cell Painting	spherized	subsampled
bumetanide	2	0.04 uM	0.674	-0.0151344285321438	Cell Painting	spherized	subsampled
bupivacaine	3	0.04 uM	0.592	-0.0023899233170605	Cell Painting	spherized	subsampled
bupropion	3	0.04 uM	0.115	0.037539558159375	Cell Painting	spherized	subsampled
buspirone	2	0.04 uM	0.636	-0.0111038268357683	Cell Painting	spherized	subsampled
butoconazole	3	0.04 uM	0.024	0.0598617873153922	Cell Painting	spherized	subsampled
butorphanol-(+)-tartrate	2	0.04 uM	0.44	0.0120939134332123	Cell Painting	spherized	subsampled
bvd-523	3	0.04 uM	0.074	0.0456136980026784	Cell Painting	spherized	subsampled
cabazitaxel	3	0.04 uM	0.0	0.3079233862367673	Cell Painting	spherized	subsampled
cabergoline	3	0.04 uM	0.0	0.6215920853963093	Cell Painting	spherized	subsampled
cabozantinib	3	0.04 uM	0.274	0.0208413050792723	Cell Painting	spherized	subsampled
caffeine	4	0.04 uM	0.084	0.0337520120484592	Cell Painting	spherized	subsampled
calcitriol	3	0.04 uM	0.017	0.0649295287008988	Cell Painting	spherized	subsampled
camicinal	3	0.04 uM	0.096	0.0407835015436858	Cell Painting	spherized	subsampled
camptothecin	2	0.04 uM	0.0	0.3889442724476196	Cell Painting	spherized	subsampled
canagliflozin	3	0.04 uM	0.412	0.0096432143488927	Cell Painting	spherized	subsampled
candesartan	3	0.04 uM	0.002	0.0815322996796851	Cell Painting	spherized	subsampled
canertinib	3	0.04 uM	0.632	-0.0053621154526895	Cell Painting	spherized	subsampled
canrenoic-acid	3	0.04 uM	0.024	0.0600138168189312	Cell Painting	spherized	subsampled
capecitabine	2	0.04 uM	0.416	0.0153774654272221	Cell Painting	spherized	subsampled
capsaicin	2	0.04 uM	0.009	0.1331644886399321	Cell Painting	spherized	subsampled
carbachol	2	0.04 uM	0.077	0.07395595411173	Cell Painting	spherized	subsampled
carbamazepine	3	0.04 uM	0.776	-0.0174733543357963	Cell Painting	spherized	subsampled
carbenoxolone	3	0.04 uM	0.403	0.0101016908687474	Cell Painting	spherized	subsampled
carbimazole	3	0.04 uM	0.04	0.0550338096741859	Cell Painting	spherized	subsampled
carglumic-acid	3	0.04 uM	0.002	0.0814251888635877	Cell Painting	spherized	subsampled
cariprazine	2	0.04 uM	0.028	0.1019418629303188	Cell Painting	spherized	subsampled
carisoprodol	3	0.04 uM	0.0	0.1071497395458143	Cell Painting	spherized	subsampled
carprofen	2	0.04 uM	0.084	0.069504252053324	Cell Painting	spherized	subsampled
carvedilol	2	0.04 uM	0.193	0.0440707438359559	Cell Painting	spherized	subsampled
cb-10-277-(free-acid)	3	0.04 uM	0.0	0.1174259339513754	Cell Painting	spherized	subsampled
cc-401	3	0.04 uM	0.289	0.0192819879065263	Cell Painting	spherized	subsampled
cc-930	3	0.04 uM	0.152	0.0323356742642813	Cell Painting	spherized	subsampled
cediranib	3	0.04 uM	0.009	0.0692304367870569	Cell Painting	spherized	subsampled
cefdinir	2	0.04 uM	0.294	0.0299883767296226	Cell Painting	spherized	subsampled
cefepime	3	0.04 uM	0.31	0.0170073590628366	Cell Painting	spherized	subsampled
cefoperazone	4	0.04 uM	0.002	0.0785900884894426	Cell Painting	spherized	subsampled
cefotetan	2	0.04 uM	0.005	0.2244363898784116	Cell Painting	spherized	subsampled
cefozopran	3	0.04 uM	0.04	0.0548031030369116	Cell Painting	spherized	subsampled
celecoxib	3	0.04 uM	0.227	0.0242772991143278	Cell Painting	spherized	subsampled
cep-37440	3	0.04 uM	0.597	-0.0025998002380077	Cell Painting	spherized	subsampled
cepharanthine	2	0.04 uM	0.079	0.0738338168136191	Cell Painting	spherized	subsampled
cgp12177	2	0.04 uM	0.72	-0.0204736378257226	Cell Painting	spherized	subsampled
chlorambucil	3	0.04 uM	0.035	0.0573902629764167	Cell Painting	spherized	subsampled
chlormezanone	3	0.04 uM	0.102	0.0395586769818129	Cell Painting	spherized	subsampled
chloroxine	3	0.04 uM	0.078	0.04482409851547	Cell Painting	spherized	subsampled
chlorphenamine	3	0.04 uM	0.363	0.0132537354181363	Cell Painting	spherized	subsampled
chlorpromazine	3	0.04 uM	0.816	-0.0220814609900892	Cell Painting	spherized	subsampled
chlorpropamide	3	0.04 uM	0.0	0.1811316853767327	Cell Painting	spherized	subsampled
chlortalidone	3	0.04 uM	0.0	0.0882105610749459	Cell Painting	spherized	subsampled
cholic-acid	2	0.04 uM	0.309	0.0284848673987741	Cell Painting	spherized	subsampled
choline-alfoscerate	3	0.04 uM	0.932	-0.0382193950431764	Cell Painting	spherized	subsampled
cianidanol	3	0.04 uM	0.012	0.0667915784646511	Cell Painting	spherized	subsampled
ciclesonide	3	0.04 uM	0.0	0.343862056761088	Cell Painting	spherized	subsampled
ciglitazone	3	0.04 uM	0.23	0.0241195244071499	Cell Painting	spherized	subsampled
cilengitide	3	0.04 uM	0.082	0.0438942294365889	Cell Painting	spherized	subsampled
cilomilast	2	0.04 uM	0.606	-0.0076637534721219	Cell Painting	spherized	subsampled
cilostazol	3	0.04 uM	0.0	0.1042203388257104	Cell Painting	spherized	subsampled
cimetidine	3	0.04 uM	0.475	0.0050719795689435	Cell Painting	spherized	subsampled
cinaciguat	3	0.04 uM	0.0	0.3962636027980956	Cell Painting	spherized	subsampled
cinepazide	2	0.04 uM	0.006	0.1647102359776876	Cell Painting	spherized	subsampled
cinnarizine	3	0.04 uM	0.032	0.0586975895067808	Cell Painting	spherized	subsampled
cinoxacin	3	0.04 uM	0.028	0.0592222859014341	Cell Painting	spherized	subsampled
ciprofloxacin	3	0.04 uM	0.018	0.064481708023191	Cell Painting	spherized	subsampled
cisapride	3	0.04 uM	0.0	0.1024661106709146	Cell Painting	spherized	subsampled
citalopram	3	0.04 uM	0.661	-0.0077520805158209	Cell Painting	spherized	subsampled
cladribine	2	0.04 uM	0.114	0.0604681498857433	Cell Painting	spherized	subsampled
clarithromycin	3	0.04 uM	0.217	0.0253410163065599	Cell Painting	spherized	subsampled
clenbuterol	2	0.04 uM	0.016	0.1153562870335638	Cell Painting	spherized	subsampled
climbazole	2	0.04 uM	0.0	0.3501995455339794	Cell Painting	spherized	subsampled
clinafloxacin	3	0.04 uM	0.362	0.0134161278956626	Cell Painting	spherized	subsampled
clindamycin	3	0.04 uM	0.0	0.1900430067460348	Cell Painting	spherized	subsampled
clinofibrate	3	0.04 uM	0.097	0.0403449771680159	Cell Painting	spherized	subsampled
clioquinol	3	0.04 uM	0.334	0.0150457002341291	Cell Painting	spherized	subsampled
clobetasol	3	0.04 uM	0.0	0.6557713235012214	Cell Painting	spherized	subsampled
clofarabine	3	0.04 uM	0.0	0.1398492075140826	Cell Painting	spherized	subsampled
clofazimine	3	0.04 uM	0.066	0.0476325166705188	Cell Painting	spherized	subsampled
clofibric-acid	3	0.04 uM	0.0	0.152906698697752	Cell Painting	spherized	subsampled
clofoctol	4	0.04 uM	0.001	0.0867036867281624	Cell Painting	spherized	subsampled
clomethiazole	3	0.04 uM	0.823	-0.0226099460352588	Cell Painting	spherized	subsampled
clomifene	3	0.04 uM	0.0	0.0939271532487722	Cell Painting	spherized	subsampled
clonazepam	2	0.04 uM	0.855	-0.0362756470862564	Cell Painting	spherized	subsampled
clonidine	2	0.04 uM	0.005	0.2080254621676253	Cell Painting	spherized	subsampled
clotrimazole	3	0.04 uM	0.0	0.0976481048160452	Cell Painting	spherized	subsampled
clozapine	2	0.04 uM	0.037	0.0930911526850696	Cell Painting	spherized	subsampled
co-102862	3	0.04 uM	0.011	0.067629312689853	Cell Painting	spherized	subsampled
cobimetinib	4	0.04 uM	0.002	0.0811589165927992	Cell Painting	spherized	subsampled
colchicine	3	0.04 uM	0.0	0.2822856418397653	Cell Painting	spherized	subsampled
colforsin-daproate	3	0.04 uM	0.0	0.1141761383316209	Cell Painting	spherized	subsampled
combretastatin-a-4	3	0.04 uM	0.0	0.3108532194951096	Cell Painting	spherized	subsampled
conivaptan	2	0.04 uM	0.219	0.0396185095673949	Cell Painting	spherized	subsampled
cordycepin	2	0.04 uM	0.969	-0.067379257675854	Cell Painting	spherized	subsampled
cp-945,598	3	0.04 uM	0.0	0.0938346821743513	Cell Painting	spherized	subsampled
cpi-1189	3	0.04 uM	0.259	0.022040735493154	Cell Painting	spherized	subsampled
cpi-613	2	0.04 uM	0.05	0.0845216993045207	Cell Painting	spherized	subsampled
cromoglicic-acid	3	0.04 uM	0.122	0.0366471508325962	Cell Painting	spherized	subsampled
ct-7758	3	0.04 uM	0.597	-0.0026534526522844	Cell Painting	spherized	subsampled
cts-1027	3	0.04 uM	0.0	0.4034958454171428	Cell Painting	spherized	subsampled
curcumin	3	0.04 uM	0.003	0.0793013139225921	Cell Painting	spherized	subsampled
cx-4945	3	0.04 uM	0.183	0.0285320337671924	Cell Painting	spherized	subsampled
cx-5461	3	0.04 uM	0.0	0.1879629960210512	Cell Painting	spherized	subsampled
cx516	3	0.04 uM	0.135	0.034630408396629	Cell Painting	spherized	subsampled
cyanocobalamin	2	0.04 uM	0.0	0.7491081037240802	Cell Painting	spherized	subsampled
cyclizine	2	0.04 uM	0.006	0.1499733569876876	Cell Painting	spherized	subsampled
cyclobenzaprine	2	0.04 uM	0.844	-0.0341858999920465	Cell Painting	spherized	subsampled
cyclosporin-a	3	0.04 uM	0.0	0.3474955077053593	Cell Painting	spherized	subsampled
cyproheptadine	3	0.04 uM	0.126	0.0361348141078978	Cell Painting	spherized	subsampled
cyproterone-acetate	2	0.04 uM	0.193	0.0440746157971668	Cell Painting	spherized	subsampled
cytarabine	3	0.04 uM	0.178	0.0290271583053349	Cell Painting	spherized	subsampled
cytisine	3	0.04 uM	0.0	0.0982147404790889	Cell Painting	spherized	subsampled
d-serine	3	0.04 uM	0.589	-0.0021773020299882	Cell Painting	spherized	subsampled
dabigatran-etexilate	3	0.04 uM	0.598	-0.0026874508111318	Cell Painting	spherized	subsampled
dabrafenib	3	0.04 uM	0.0	0.1433628167391815	Cell Painting	spherized	subsampled
dacarbazine	2	0.04 uM	0.91	-0.0479425809982223	Cell Painting	spherized	subsampled
dacinostat	3	0.04 uM	0.0	0.5814608110723682	Cell Painting	spherized	subsampled
dacomitinib	3	0.04 uM	0.0	0.351883020057941	Cell Painting	spherized	subsampled
danazol	3	0.04 uM	0.0	0.085137919158082	Cell Painting	spherized	subsampled
danegaptide	3	0.04 uM	0.043	0.0523828724229734	Cell Painting	spherized	subsampled
dantrolene	3	0.04 uM	0.745	-0.0143823526143512	Cell Painting	spherized	subsampled
danusertib	3	0.04 uM	0.001	0.082213919303542	Cell Painting	spherized	subsampled
dapagliflozin	3	0.04 uM	0.177	0.0290869916074999	Cell Painting	spherized	subsampled
dapivirine	3	0.04 uM	0.313	0.0166221306462234	Cell Painting	spherized	subsampled
