compound	no_of_replicates	dose	matching_score	assay	normalization	category
benzylpenicillin	5	0.12 uM	0.3627106173736429	Cell Painting	non_spherized	all_data
bepotastine	5	0.12 uM	0.3483633410558935	Cell Painting	non_spherized	all_data
berberine	5	0.12 uM	0.3758032168064668	Cell Painting	non_spherized	all_data
betahistine	5	0.12 uM	0.2636379766809412	Cell Painting	non_spherized	all_data
betulinic-acid	2	0.12 uM	0.1252405351084974	Cell Painting	non_spherized	all_data
bevirimat-dimeglumine	5	0.12 uM	0.3308873324257237	Cell Painting	non_spherized	all_data
bexarotene	5	0.12 uM	0.352478679418973	Cell Painting	non_spherized	all_data
bezafibrate	5	0.12 uM	0.3516782298885831	Cell Painting	non_spherized	all_data
bicalutamide	5	0.12 uM	0.3218137092852352	Cell Painting	non_spherized	all_data
bifemelane	5	0.12 uM	0.468250798494529	Cell Painting	non_spherized	all_data
bifonazole	5	0.12 uM	0.3939066063441014	Cell Painting	non_spherized	all_data
bimatoprost	5	0.12 uM	0.2307240572301759	Cell Painting	non_spherized	all_data
bindarit	5	0.12 uM	0.5361046394523825	Cell Painting	non_spherized	all_data
biperiden	4	0.12 uM	0.038688856141097	Cell Painting	non_spherized	all_data
birinapant	5	0.12 uM	0.3410040626283649	Cell Painting	non_spherized	all_data
bisindolylmaleimide	5	0.12 uM	0.150411064176885	Cell Painting	non_spherized	all_data
bisoprolol	5	0.12 uM	0.2638154193184268	Cell Painting	non_spherized	all_data
bitopertin	5	0.12 uM	0.1436126640498082	Cell Painting	non_spherized	all_data
blonanserin	5	0.12 uM	0.2555836863219904	Cell Painting	non_spherized	all_data
bms-599626	5	0.12 uM	0.2693958776587275	Cell Painting	non_spherized	all_data
bms-707035	5	0.12 uM	0.1558082329470302	Cell Painting	non_spherized	all_data
bms-927711	5	0.12 uM	0.2690952869548002	Cell Painting	non_spherized	all_data
bopindolol	5	0.12 uM	0.3746900589770562	Cell Painting	non_spherized	all_data
bortezomib	5	0.12 uM	0.8184870415069244	Cell Painting	non_spherized	all_data
bosentan	5	0.12 uM	0.2717392154287843	Cell Painting	non_spherized	all_data
bosutinib	5	0.12 uM	0.4426620191377071	Cell Painting	non_spherized	all_data
brequinar	5	0.12 uM	0.7043528515283864	Cell Painting	non_spherized	all_data
bretazenil	5	0.12 uM	0.2779535201822594	Cell Painting	non_spherized	all_data
brexpiprazole	4	0.12 uM	0.2036713487800538	Cell Painting	non_spherized	all_data
brivanib	5	0.12 uM	0.0730890744533563	Cell Painting	non_spherized	all_data
brivudine	5	0.12 uM	0.3943067548765173	Cell Painting	non_spherized	all_data
bromocriptine	5	0.12 uM	0.399868173379647	Cell Painting	non_spherized	all_data
broxuridine	5	0.12 uM	0.672895420080164	Cell Painting	non_spherized	all_data
bruceantin	5	0.12 uM	0.8244165356012768	Cell Painting	non_spherized	all_data
bts-54505	5	0.12 uM	0.1013043159239585	Cell Painting	non_spherized	all_data
bucladesine	5	0.12 uM	0.7943762938075642	Cell Painting	non_spherized	all_data
budipine	5	0.12 uM	0.5084570845283185	Cell Painting	non_spherized	all_data
bumetanide	5	0.12 uM	0.2132218214397499	Cell Painting	non_spherized	all_data
bupivacaine	4	0.12 uM	0.0648473917715489	Cell Painting	non_spherized	all_data
bupropion	5	0.12 uM	0.6045314527781753	Cell Painting	non_spherized	all_data
buspirone	5	0.12 uM	0.2674551517763149	Cell Painting	non_spherized	all_data
butoconazole	5	0.12 uM	0.3386331403504395	Cell Painting	non_spherized	all_data
butorphanol-(+)-tartrate	2	0.12 uM	0.3874209573119126	Cell Painting	non_spherized	all_data
bvd-523	5	0.12 uM	0.0507667712681813	Cell Painting	non_spherized	all_data
cabazitaxel	5	0.12 uM	0.7562829634224119	Cell Painting	non_spherized	all_data
cabergoline	5	0.12 uM	0.7988270519833409	Cell Painting	non_spherized	all_data
cabozantinib	5	0.12 uM	0.4258370145683344	Cell Painting	non_spherized	all_data
caffeine	4	0.12 uM	0.035331593160253	Cell Painting	non_spherized	all_data
calcitriol	5	0.12 uM	0.2099217053739177	Cell Painting	non_spherized	all_data
camicinal	5	0.12 uM	0.016778583965672	Cell Painting	non_spherized	all_data
camptothecin	2	0.12 uM	0.5988998305453154	Cell Painting	non_spherized	all_data
canagliflozin	5	0.12 uM	0.131784468470713	Cell Painting	non_spherized	all_data
candesartan	5	0.12 uM	0.2663679155780677	Cell Painting	non_spherized	all_data
canertinib	5	0.12 uM	0.4174094092423854	Cell Painting	non_spherized	all_data
canrenoic-acid	5	0.12 uM	0.3667864793825135	Cell Painting	non_spherized	all_data
capecitabine	5	0.12 uM	0.1712402139613798	Cell Painting	non_spherized	all_data
capsaicin	5	0.12 uM	0.3238931180100309	Cell Painting	non_spherized	all_data
carbachol	5	0.12 uM	0.2731879997099875	Cell Painting	non_spherized	all_data
carbamazepine	5	0.12 uM	0.4278552471857623	Cell Painting	non_spherized	all_data
carbenoxolone	5	0.12 uM	0.5865660499303704	Cell Painting	non_spherized	all_data
carbimazole	5	0.12 uM	0.4441103006679823	Cell Painting	non_spherized	all_data
carglumic-acid	5	0.12 uM	0.3520324799745782	Cell Painting	non_spherized	all_data
cariprazine	5	0.12 uM	0.4182740280114057	Cell Painting	non_spherized	all_data
carisoprodol	5	0.12 uM	0.0034714253981355	Cell Painting	non_spherized	all_data
carprofen	5	0.12 uM	0.3905608829114971	Cell Painting	non_spherized	all_data
carvedilol	5	0.12 uM	-0.0536935343467336	Cell Painting	non_spherized	all_data
cb-10-277-(free-acid)	5	0.12 uM	0.2149673793351852	Cell Painting	non_spherized	all_data
cc-401	5	0.12 uM	0.2201273793466882	Cell Painting	non_spherized	all_data
cc-930	5	0.12 uM	0.9151189196223	Cell Painting	non_spherized	all_data
cediranib	5	0.12 uM	0.2947591849907137	Cell Painting	non_spherized	all_data
cefdinir	5	0.12 uM	0.5092201275502314	Cell Painting	non_spherized	all_data
cefepime	5	0.12 uM	0.3673106233385293	Cell Painting	non_spherized	all_data
cefoperazone	4	0.12 uM	0.4190413751410051	Cell Painting	non_spherized	all_data
cefotetan	5	0.12 uM	0.0445145795461739	Cell Painting	non_spherized	all_data
cefozopran	5	0.12 uM	0.3646870796460873	Cell Painting	non_spherized	all_data
celecoxib	4	0.12 uM	0.0850334064524944	Cell Painting	non_spherized	all_data
cep-37440	5	0.12 uM	0.0660106157633898	Cell Painting	non_spherized	all_data
cepharanthine	5	0.12 uM	-0.0233290496530749	Cell Painting	non_spherized	all_data
cgp12177	2	0.12 uM	-0.1694906479046126	Cell Painting	non_spherized	all_data
chlorambucil	5	0.12 uM	0.4085459374254028	Cell Painting	non_spherized	all_data
chlormezanone	5	0.12 uM	-0.0130125523701516	Cell Painting	non_spherized	all_data
chloroxine	5	0.12 uM	0.2455961372083414	Cell Painting	non_spherized	all_data
chlorphenamine	5	0.12 uM	0.1090401994193529	Cell Painting	non_spherized	all_data
chlorpromazine	5	0.12 uM	0.4582107422689853	Cell Painting	non_spherized	all_data
chlorpropamide	5	0.12 uM	0.5296614594634464	Cell Painting	non_spherized	all_data
chlortalidone	5	0.12 uM	0.1001332748499388	Cell Painting	non_spherized	all_data
cholic-acid	2	0.12 uM	0.2683332777580595	Cell Painting	non_spherized	all_data
choline-alfoscerate	5	0.12 uM	0.259252864748425	Cell Painting	non_spherized	all_data
cianidanol	5	0.12 uM	0.0619715418899021	Cell Painting	non_spherized	all_data
ciclesonide	5	0.12 uM	0.7143978843648866	Cell Painting	non_spherized	all_data
ciglitazone	5	0.12 uM	0.1593189546176498	Cell Painting	non_spherized	all_data
cilengitide	5	0.12 uM	0.2976515259363804	Cell Painting	non_spherized	all_data
cilomilast	2	0.12 uM	-0.1261263432613026	Cell Painting	non_spherized	all_data
cilostazol	5	0.12 uM	0.5285861556090099	Cell Painting	non_spherized	all_data
cimetidine	5	0.12 uM	0.6059569817896169	Cell Painting	non_spherized	all_data
cinaciguat	5	0.12 uM	0.797733496937926	Cell Painting	non_spherized	all_data
cinepazide	5	0.12 uM	0.5996460430661823	Cell Painting	non_spherized	all_data
cinnarizine	5	0.12 uM	0.0450181964378881	Cell Painting	non_spherized	all_data
cinoxacin	5	0.12 uM	0.49182570831734	Cell Painting	non_spherized	all_data
ciprofloxacin	5	0.12 uM	0.0207938378332359	Cell Painting	non_spherized	all_data
cisapride	5	0.12 uM	0.6674643921461476	Cell Painting	non_spherized	all_data
citalopram	5	0.12 uM	0.1224273362166095	Cell Painting	non_spherized	all_data
cladribine	5	0.12 uM	0.5168908239130481	Cell Painting	non_spherized	all_data
clarithromycin	5	0.12 uM	0.447489002647754	Cell Painting	non_spherized	all_data
clenbuterol	5	0.12 uM	0.5362377803041762	Cell Painting	non_spherized	all_data
climbazole	5	0.12 uM	0.4618020544901459	Cell Painting	non_spherized	all_data
clinafloxacin	5	0.12 uM	0.1249602894324738	Cell Painting	non_spherized	all_data
clindamycin	5	0.12 uM	0.5448735581522111	Cell Painting	non_spherized	all_data
clinofibrate	5	0.12 uM	0.3704192362691695	Cell Painting	non_spherized	all_data
clioquinol	5	0.12 uM	0.594388044187131	Cell Painting	non_spherized	all_data
clobetasol	5	0.12 uM	0.7865648940649181	Cell Painting	non_spherized	all_data
clofarabine	5	0.12 uM	0.8027006394396263	Cell Painting	non_spherized	all_data
clofazimine	5	0.12 uM	0.0789747377625818	Cell Painting	non_spherized	all_data
clofibric-acid	5	0.12 uM	0.4173539822306065	Cell Painting	non_spherized	all_data
clofoctol	4	0.12 uM	0.0280177986289963	Cell Painting	non_spherized	all_data
clomethiazole	5	0.12 uM	0.0588944177643167	Cell Painting	non_spherized	all_data
clomifene	5	0.12 uM	0.0603496922531655	Cell Painting	non_spherized	all_data
clonazepam	2	0.12 uM	-0.0963699354504224	Cell Painting	non_spherized	all_data
clonidine	5	0.12 uM	0.4527438588524688	Cell Painting	non_spherized	all_data
clotrimazole	5	0.12 uM	0.3841909539279471	Cell Painting	non_spherized	all_data
clozapine	2	0.12 uM	0.517534019270946	Cell Painting	non_spherized	all_data
co-102862	5	0.12 uM	0.091232893589032	Cell Painting	non_spherized	all_data
cobimetinib	4	0.12 uM	0.2683027043879588	Cell Painting	non_spherized	all_data
colchicine	4	0.12 uM	0.7749225280607064	Cell Painting	non_spherized	all_data
colforsin-daproate	5	0.12 uM	0.4747461971964619	Cell Painting	non_spherized	all_data
combretastatin-a-4	5	0.12 uM	0.8993329640548129	Cell Painting	non_spherized	all_data
conivaptan	2	0.12 uM	-0.149038549613239	Cell Painting	non_spherized	all_data
cordycepin	5	0.12 uM	0.0930633407856526	Cell Painting	non_spherized	all_data
cp-945,598	5	0.12 uM	0.3411360907655998	Cell Painting	non_spherized	all_data
cpi-1189	5	0.12 uM	0.1835529240711066	Cell Painting	non_spherized	all_data
cpi-613	5	0.12 uM	0.3202632749406288	Cell Painting	non_spherized	all_data
cromoglicic-acid	5	0.12 uM	0.2981700075518365	Cell Painting	non_spherized	all_data
ct-7758	5	0.12 uM	0.1849519655175305	Cell Painting	non_spherized	all_data
cts-1027	5	0.12 uM	0.7236500176488494	Cell Painting	non_spherized	all_data
curcumin	5	0.12 uM	0.248562727715494	Cell Painting	non_spherized	all_data
cx-4945	5	0.12 uM	0.3209489648745081	Cell Painting	non_spherized	all_data
cx-5461	5	0.12 uM	0.9096801298921592	Cell Painting	non_spherized	all_data
cx516	5	0.12 uM	0.4285723672325285	Cell Painting	non_spherized	all_data
cyanocobalamin	5	0.12 uM	0.8316164887008296	Cell Painting	non_spherized	all_data
cyclizine	5	0.12 uM	0.0718925942900843	Cell Painting	non_spherized	all_data
cyclobenzaprine	2	0.12 uM	-0.0941958929611857	Cell Painting	non_spherized	all_data
cyclosporin-a	5	0.12 uM	0.6838382945201253	Cell Painting	non_spherized	all_data
cyproheptadine	5	0.12 uM	0.1442724497796809	Cell Painting	non_spherized	all_data
cyproterone-acetate	5	0.12 uM	0.19413964339914	Cell Painting	non_spherized	all_data
cytarabine	5	0.12 uM	0.042835418753867	Cell Painting	non_spherized	all_data
cytisine	5	0.12 uM	0.5777250422591642	Cell Painting	non_spherized	all_data
d-serine	5	0.12 uM	0.114235068398232	Cell Painting	non_spherized	all_data
dabigatran-etexilate	5	0.12 uM	0.0307271341901879	Cell Painting	non_spherized	all_data
dabrafenib	5	0.12 uM	0.5020141994103555	Cell Painting	non_spherized	all_data
dacarbazine	5	0.12 uM	-0.0415460623766274	Cell Painting	non_spherized	all_data
dacinostat	5	0.12 uM	0.8603987636826754	Cell Painting	non_spherized	all_data
dacomitinib	5	0.12 uM	0.4068708059124888	Cell Painting	non_spherized	all_data
danazol	5	0.12 uM	0.5549476830661275	Cell Painting	non_spherized	all_data
danegaptide	5	0.12 uM	0.0452038374985406	Cell Painting	non_spherized	all_data
dantrolene	5	0.12 uM	0.2909396112506269	Cell Painting	non_spherized	all_data
danusertib	5	0.12 uM	0.7272080561407395	Cell Painting	non_spherized	all_data
dapagliflozin	5	0.12 uM	0.2876048875384042	Cell Painting	non_spherized	all_data
dapivirine	5	0.12 uM	0.5263613585799676	Cell Painting	non_spherized	all_data
dapsone	5	0.12 uM	0.2303854611429293	Cell Painting	non_spherized	all_data
darifenacin	5	0.12 uM	0.2092428295754896	Cell Painting	non_spherized	all_data
darunavir	5	0.12 uM	0.3912023909535107	Cell Painting	non_spherized	all_data
dasabuvir	4	0.12 uM	0.1837539864975416	Cell Painting	non_spherized	all_data
dasatinib	5	0.12 uM	0.8118561759769263	Cell Painting	non_spherized	all_data
dazoxiben	5	0.12 uM	0.232720476246644	Cell Painting	non_spherized	all_data
decitabine	5	0.12 uM	0.4303867988766931	Cell Painting	non_spherized	all_data
defactinib	2	0.12 uM	0.2646018091862606	Cell Painting	non_spherized	all_data
deferasirox	5	0.12 uM	0.6316768017626099	Cell Painting	non_spherized	all_data
deferiprone	5	0.12 uM	0.3436296790036334	Cell Painting	non_spherized	all_data
deforolimus	5	0.12 uM	0.83344710222893	Cell Painting	non_spherized	all_data
dehydroepiandrosterone	5	0.12 uM	0.3443207498497498	Cell Painting	non_spherized	all_data
delanzomib	5	0.12 uM	0.9240933169650072	Cell Painting	non_spherized	all_data
delivert	5	0.12 uM	0.2672667838229782	Cell Painting	non_spherized	all_data
deoxycholic-acid	5	0.12 uM	0.0162112077259794	Cell Painting	non_spherized	all_data
dequalinium	5	0.12 uM	0.531516546245195	Cell Painting	non_spherized	all_data
desmopressin-acetate	5	0.12 uM	0.4076671183458448	Cell Painting	non_spherized	all_data
dexamethasone	10	0.12 uM	0.7066528184950273	Cell Painting	non_spherized	all_data
dexfenfluramine	5	0.12 uM	0.3015321114869751	Cell Painting	non_spherized	all_data
dexloxiglumide	5	0.12 uM	0.3943834142198321	Cell Painting	non_spherized	all_data
dexniguldipine	2	0.12 uM	0.1174542716986575	Cell Painting	non_spherized	all_data
dextromethorphan	5	0.12 uM	0.2788495091538073	Cell Painting	non_spherized	all_data
diacerein	5	0.12 uM	0.1880312484961506	Cell Painting	non_spherized	all_data
diazepam	5	0.12 uM	0.4731101995398268	Cell Painting	non_spherized	all_data
diazoxide	5	0.12 uM	0.7056731411333209	Cell Painting	non_spherized	all_data
diclofenac	5	0.12 uM	0.445665644438877	Cell Painting	non_spherized	all_data
diclofensine	5	0.12 uM	0.1847895232325413	Cell Painting	non_spherized	all_data
dicloxacillin	5	0.12 uM	0.3506371143365224	Cell Painting	non_spherized	all_data
dicoumarol	5	0.12 uM	0.3754625133161638	Cell Painting	non_spherized	all_data
dideoxyadenosine	5	0.12 uM	0.2219720244885903	Cell Painting	non_spherized	all_data
dienogest	5	0.12 uM	0.3833880524168149	Cell Painting	non_spherized	all_data
diethylcarbamazine	5	0.12 uM	0.1463096575759842	Cell Painting	non_spherized	all_data
diethylstilbestrol	5	0.12 uM	0.2587535674371137	Cell Painting	non_spherized	all_data
diflunisal	5	0.12 uM	0.5053596746263138	Cell Painting	non_spherized	all_data
dihydroergocristine	5	0.12 uM	0.1551471814615481	Cell Painting	non_spherized	all_data
dihydroergotamine	5	0.12 uM	0.3185920583992154	Cell Painting	non_spherized	all_data
dilazep	5	0.12 uM	0.4976758607129598	Cell Painting	non_spherized	all_data
diltiazem	5	0.12 uM	0.2639134741730884	Cell Painting	non_spherized	all_data
dimesna	5	0.12 uM	0.0176038432818648	Cell Painting	non_spherized	all_data
dimethyl-fumarate	5	0.12 uM	0.5341128472622507	Cell Painting	non_spherized	all_data
diminazene-aceturate	5	0.12 uM	0.2387083636517816	Cell Painting	non_spherized	all_data
dinaciclib	5	0.12 uM	0.9029118735853134	Cell Painting	non_spherized	all_data
dinoprost	5	0.12 uM	0.2895427622302171	Cell Painting	non_spherized	all_data
diosmin	5	0.12 uM	0.2389397504090278	Cell Painting	non_spherized	all_data
diphenidol	4	0.12 uM	0.1599386298192311	Cell Painting	non_spherized	all_data
dipraglurant	5	0.12 uM	0.2818949016431748	Cell Painting	non_spherized	all_data
dipyridamole	5	0.12 uM	0.2735165572708901	Cell Painting	non_spherized	all_data
disopyramide	5	0.12 uM	0.3359750710327402	Cell Painting	non_spherized	all_data
disulfiram	5	0.12 uM	0.8735488568933758	Cell Painting	non_spherized	all_data
dmp-777	5	0.12 uM	0.0723749774804081	Cell Painting	non_spherized	all_data
docetaxel	5	0.12 uM	0.7745943135965121	Cell Painting	non_spherized	all_data
dofequidar	5	0.12 uM	0.5127037027432557	Cell Painting	non_spherized	all_data
dolutegravir	5	0.12 uM	0.4977054776368932	Cell Painting	non_spherized	all_data
donepezil	5	0.12 uM	0.354353436993721	Cell Painting	non_spherized	all_data
donitriptan	5	0.12 uM	0.2043650975735588	Cell Painting	non_spherized	all_data
dopamine	2	0.12 uM	-0.0845570095502374	Cell Painting	non_spherized	all_data
doramapimod	5	0.12 uM	0.3959839500482975	Cell Painting	non_spherized	all_data
dorzolamide	5	0.12 uM	-0.0350268070787349	Cell Painting	non_spherized	all_data
doxapram	5	0.12 uM	0.3223078654118956	Cell Painting	non_spherized	all_data
doxazosin	5	0.12 uM	0.2605328813903255	Cell Painting	non_spherized	all_data
doxepin	5	0.12 uM	0.4137430240308683	Cell Painting	non_spherized	all_data
doxifluridine	5	0.12 uM	0.3721394638280519	Cell Painting	non_spherized	all_data
doxofylline	5	0.12 uM	0.0529036981377482	Cell Painting	non_spherized	all_data
doxorubicin	5	0.12 uM	0.9065789051542396	Cell Painting	non_spherized	all_data
doxycycline-hyclate	5	0.12 uM	0.2493594868402336	Cell Painting	non_spherized	all_data
dpcpx	4	0.12 uM	0.0981850744444289	Cell Painting	non_spherized	all_data
dpi-201106	5	0.12 uM	0.4616782454577318	Cell Painting	non_spherized	all_data
dronedarone	5	0.12 uM	0.1410662681039145	Cell Painting	non_spherized	all_data
droperidol	5	0.12 uM	0.3101395465580749	Cell Painting	non_spherized	all_data
drospirenone	4	0.12 uM	0.0751392980732233	Cell Painting	non_spherized	all_data
du-728	5	0.12 uM	0.3761591608188449	Cell Painting	non_spherized	all_data
duloxetine	5	0.12 uM	0.1370980326033993	Cell Painting	non_spherized	all_data
dutasteride	5	0.12 uM	0.6952301842674895	Cell Painting	non_spherized	all_data
e-2012	5	0.12 uM	0.0382563748873257	Cell Painting	non_spherized	all_data
ebselen	5	0.12 uM	0.402460532850557	Cell Painting	non_spherized	all_data
econazole	5	0.12 uM	0.2722726603769698	Cell Painting	non_spherized	all_data
edoxaban	5	0.12 uM	0.5612849134648912	Cell Painting	non_spherized	all_data
edoxudine	5	0.12 uM	0.4987093751104757	Cell Painting	non_spherized	all_data
efaproxiral	2	0.12 uM	-0.3276236990395001	Cell Painting	non_spherized	all_data
efavirenz	2	0.12 uM	-0.169757816160712	Cell Painting	non_spherized	all_data
eflornithine	5	0.12 uM	0.2819928630879666	Cell Painting	non_spherized	all_data
elesclomol	5	0.12 uM	0.8781762494631467	Cell Painting	non_spherized	all_data
ellagic-acid	5	0.12 uM	-0.0470552664098448	Cell Painting	non_spherized	all_data
emd-1214063	5	0.12 uM	0.3438527740376512	Cell Painting	non_spherized	all_data
emd-53998	5	0.12 uM	-0.0186125711526644	Cell Painting	non_spherized	all_data
emedastine	5	0.12 uM	0.5192563311442824	Cell Painting	non_spherized	all_data
emtricitabine	5	0.12 uM	0.2539918464332263	Cell Painting	non_spherized	all_data
enalapril	5	0.12 uM	0.4103476997891532	Cell Painting	non_spherized	all_data
enoxacin	5	0.12 uM	0.2564769896080618	Cell Painting	non_spherized	all_data
entecavir	5	0.12 uM	0.2607098781294656	Cell Painting	non_spherized	all_data
entinostat	5	0.12 uM	0.548698619857529	Cell Painting	non_spherized	all_data
enzalutamide	5	0.12 uM	0.6202020553054901	Cell Painting	non_spherized	all_data
enzastaurin	5	0.12 uM	0.2485154259617379	Cell Painting	non_spherized	all_data
eperezolid	5	0.12 uM	0.3725434012462845	Cell Painting	non_spherized	all_data
epinastine	5	0.12 uM	0.2708363620913886	Cell Painting	non_spherized	all_data
epinephrine	5	0.12 uM	0.3418781389512019	Cell Painting	non_spherized	all_data
epirizole	2	0.12 uM	0.0685674715835046	Cell Painting	non_spherized	all_data
epirubicin	5	0.12 uM	0.9071370381060586	Cell Painting	non_spherized	all_data
epitiostanol	4	0.12 uM	0.43407596950866	Cell Painting	non_spherized	all_data
epothilone-b	5	0.12 uM	0.8862464185098688	Cell Painting	non_spherized	all_data
equol	5	0.12 uM	0.5512395396490417	Cell Painting	non_spherized	all_data
ercalcitriol	5	0.12 uM	0.422849193666707	Cell Painting	non_spherized	all_data
erlotinib	5	0.12 uM	0.5523141557144233	Cell Painting	non_spherized	all_data
erteberel	5	0.12 uM	0.677632891039613	Cell Painting	non_spherized	all_data
erythromycin	10	0.12 uM	0.0947198767719114	Cell Painting	non_spherized	all_data
escitalopram	5	0.12 uM	0.0995851442897455	Cell Painting	non_spherized	all_data
esmolol	5	0.12 uM	0.0750738369050295	Cell Painting	non_spherized	all_data
estramustine	5	0.12 uM	0.0925196194951214	Cell Painting	non_spherized	all_data
estramustine-phosphate	4	0.12 uM	0.407623978872745	Cell Painting	non_spherized	all_data
estriol	5	0.12 uM	0.3990182212266656	Cell Painting	non_spherized	all_data
estrone	2	0.12 uM	-0.1201433640787476	Cell Painting	non_spherized	all_data
etacrynic-acid	5	0.12 uM	0.290508094464135	Cell Painting	non_spherized	all_data
etanidazole	5	0.12 uM	0.2336386173509602	Cell Painting	non_spherized	all_data
etazolate	5	0.12 uM	0.0271827368894326	Cell Painting	non_spherized	all_data
ethinyl-estradiol	4	0.12 uM	0.3732521465684642	Cell Painting	non_spherized	all_data
ethylenediaminetetraacetic-acid	5	0.12 uM	0.2736977516537187	Cell Painting	non_spherized	all_data
etizolam	5	0.12 uM	0.1867485354168813	Cell Painting	non_spherized	all_data
etodolac	5	0.12 uM	0.613814466738668	Cell Painting	non_spherized	all_data
etofylline-clofibrate	5	0.12 uM	0.2024189279718741	Cell Painting	non_spherized	all_data
etomidate	5	0.12 uM	0.2818266145400657	Cell Painting	non_spherized	all_data
etomoxir	5	0.12 uM	0.4214914641148186	Cell Painting	non_spherized	all_data
etoposide	5	0.12 uM	0.7175146073335978	Cell Painting	non_spherized	all_data
etoricoxib	5	0.12 uM	0.2732566373339294	Cell Painting	non_spherized	all_data
etravirine	5	0.12 uM	0.6260896137687006	Cell Painting	non_spherized	all_data
eugenol	5	0.12 uM	0.1290456469537909	Cell Painting	non_spherized	all_data
everolimus	5	0.12 uM	0.7093875164359673	Cell Painting	non_spherized	all_data
evp-6124	5	0.12 uM	0.457557333454858	Cell Painting	non_spherized	all_data
exalamide	5	0.12 uM	0.3197214735210585	Cell Painting	non_spherized	all_data
exemestane	5	0.12 uM	0.1954982533968791	Cell Painting	non_spherized	all_data
exherin	5	0.12 uM	0.218325882801374	Cell Painting	non_spherized	all_data
fadrozole	5	0.12 uM	-0.0531488645059747	Cell Painting	non_spherized	all_data
famciclovir	5	0.12 uM	0.7293677770848825	Cell Painting	non_spherized	all_data
famotidine	4	0.12 uM	0.1423223901828243	Cell Painting	non_spherized	all_data
faropenem	5	0.12 uM	0.6946955764233727	Cell Painting	non_spherized	all_data
fasudil	5	0.12 uM	0.6499441415065469	Cell Painting	non_spherized	all_data
favipiravir	5	0.12 uM	0.484029890519188	Cell Painting	non_spherized	all_data
fdcyd	5	0.12 uM	0.9324437557425412	Cell Painting	non_spherized	all_data
febuxostat	5	0.12 uM	0.1752260301649027	Cell Painting	non_spherized	all_data
felbinac	5	0.12 uM	0.1042553474854466	Cell Painting	non_spherized	all_data
felodipine	5	0.12 uM	0.1907416924644765	Cell Painting	non_spherized	all_data
fenobam	5	0.12 uM	0.4777994168102675	Cell Painting	non_spherized	all_data
fenoterol	5	0.12 uM	0.1608987962029525	Cell Painting	non_spherized	all_data
fenticonazole	5	0.12 uM	0.3372170884220837	Cell Painting	non_spherized	all_data
fexofenadine	5	0.12 uM	0.2737113948431686	Cell Painting	non_spherized	all_data
fiacitabine	5	0.12 uM	0.4556767573983574	Cell Painting	non_spherized	all_data
fidarestat	5	0.12 uM	0.0091413244809046	Cell Painting	non_spherized	all_data
fidaxomicin	5	0.12 uM	0.404198637045448	Cell Painting	non_spherized	all_data
filgotinib	5	0.12 uM	0.1557267194669228	Cell Painting	non_spherized	all_data
finasteride	5	0.12 uM	0.3894759519845154	Cell Painting	non_spherized	all_data
fipronil	5	0.12 uM	0.2825892986693445	Cell Painting	non_spherized	all_data
firategrast	5	0.12 uM	0.3005546442106055	Cell Painting	non_spherized	all_data
flavoxate	5	0.12 uM	0.054676536862243	Cell Painting	non_spherized	all_data
flecainide	5	0.12 uM	0.5718394553231214	Cell Painting	non_spherized	all_data
floxuridine	5	0.12 uM	0.9287130741465268	Cell Painting	non_spherized	all_data
fluconazole	5	0.12 uM	0.4281014821938732	Cell Painting	non_spherized	all_data
fludarabine-phosphate	5	0.12 uM	0.2171990507752407	Cell Painting	non_spherized	all_data
fludroxycortide	5	0.12 uM	0.7517172824671405	Cell Painting	non_spherized	all_data
flumatinib	5	0.12 uM	0.5774005297356921	Cell Painting	non_spherized	all_data
flumazenil	5	0.12 uM	0.3621025204669654	Cell Painting	non_spherized	all_data
fluocinonide	5	0.12 uM	0.8348572033786268	Cell Painting	non_spherized	all_data
fluorometholone	5	0.12 uM	0.8364994611048744	Cell Painting	non_spherized	all_data
fluorouracil	5	0.12 uM	0.2453586950650254	Cell Painting	non_spherized	all_data
fluoxetine	5	0.12 uM	0.69596369152269	Cell Painting	non_spherized	all_data
fluphenazine	5	0.12 uM	0.2186769010419025	Cell Painting	non_spherized	all_data
fluspirilene	5	0.12 uM	0.3486495589808993	Cell Painting	non_spherized	all_data
flutamide	5	0.12 uM	0.2734376288707812	Cell Painting	non_spherized	all_data
fluticasone	5	0.12 uM	0.7605348574871444	Cell Painting	non_spherized	all_data
flutrimazole	4	0.12 uM	0.3420866826360855	Cell Painting	non_spherized	all_data
fluvoxamine	5	0.12 uM	0.1914834643568939	Cell Painting	non_spherized	all_data
folic-acid	5	0.12 uM	0.4071829575350941	Cell Painting	non_spherized	all_data
fomepizole	5	0.12 uM	0.4774986168913411	Cell Painting	non_spherized	all_data
fomocaine	5	0.12 uM	0.4383072314367644	Cell Painting	non_spherized	all_data
foretinib	4	0.12 uM	0.8235206465946493	Cell Painting	non_spherized	all_data
formestane	5	0.12 uM	0.4428487421071722	Cell Painting	non_spherized	all_data
formoterol	5	0.12 uM	0.2425131352983866	Cell Painting	non_spherized	all_data
forskolin	5	0.12 uM	0.2799218952074999	Cell Painting	non_spherized	all_data
fosfomycin	5	0.12 uM	0.2077849824156462	Cell Painting	non_spherized	all_data
fostamatinib	5	0.12 uM	0.2793690685913187	Cell Painting	non_spherized	all_data
fpl-62064	5	0.12 uM	0.5635581648549532	Cell Painting	non_spherized	all_data
