cluster,BIC_score,dose
20,3236486.9103681566,3
21,3333097.0969641283,3
22,3511034.683961376,3
23,3540490.224775603,3
24,3642763.4203898963,3
25,3767517.1060498618,3
26,3989677.1109488145,3
27,3957908.387367703,3
28,3951350.8241041442,3
29,4044338.1565233706,3
30,4170572.3760142075,3
31,4202021.834914116,3
32,4370921.635468725,3
33,4478785.630079197,3
34,4585699.283632712,3
35,4620625.108025871,3
36,4742251.690972161,3
37,4717877.608888165,3
38,4960919.02702884,3
39,4742423.860789768,3
40,5074108.28960634,3
2,2362920.258738811,4
3,2327198.6472919844,4
4,2451224.9838463166,4
5,2813832.4844717616,4
6,2703564.8598011313,4
7,2567971.989983455,4
8,2911505.3743031174,4
9,2945219.8640143406,4
10,2769928.7167188297,4
11,2852564.6390280467,4
12,2706689.4448834173,4
13,2771592.139684491,4
14,2983860.1357398843,4
15,2879946.03092981,4
16,2959829.105774508,4
17,3162038.2218849673,4
18,3125548.4694999564,4
19,3183403.4069280196,4
20,3213993.2182169813,4
21,3259673.5159994606,4
22,3328340.1959005557,4
23,3514723.188341178,4
24,3563383.095955839,4
25,3501635.807120177,4
26,3574136.4959847443,4
27,3853036.9992821543,4
28,3793325.642009785,4
29,3880206.8253697245,4
30,4078997.303371578,4
31,4029126.9384012464,4
32,4206833.21138453,4
33,4246835.238594091,4
34,4272340.236142313,4
35,4427781.748939019,4
36,4487210.465031529,4
37,4618603.899050801,4
38,4530453.214337621,4
39,4840193.597354725,4
40,4675919.454408754,4
2,3158707.274605645,5
3,2253144.4691611067,5
4,2329929.4301785566,5
5,2401013.912878258,5
6,2412071.71795528,5
7,2524420.050258573,5
8,2511731.682434061,5
9,2498114.5198399452,5
10,2572808.886470175,5
11,2605493.089821777,5
12,2775940.4895059466,5
13,2836120.7410563882,5
14,2855497.066994547,5
15,3086792.794356392,5
16,3034316.8589153057,5
17,3090606.149186106,5
18,3137701.037395506,5
19,3359582.856297199,5
20,3647988.6358571956,5
21,3487947.6856927928,5
22,3320496.0286358395,5
23,3675186.211671886,5
24,3573589.8090950046,5
25,3781161.493349187,5
26,3555618.7662598444,5
27,3664062.413114793,5
28,3754033.9527248545,5
29,3852880.454340849,5
30,3911103.698897086,5
31,4043885.3256884813,5
32,4135023.067920534,5
33,4101699.0249486836,5
34,4306587.683925308,5
35,4382992.885692598,5
36,4467457.476807909,5
37,4523585.516342097,5
38,4570031.074240837,5
39,4708679.073169382,5
40,4799185.680353591,5
2,3263631.736496565,6
3,2257599.5538190007,6
4,2318093.7760444456,6
5,2343548.1184692653,6
6,2439144.2445861297,6
7,2447554.1027535987,6
8,2558008.573741538,6
9,2371537.8151904303,6
10,2633252.7642467306,6
11,2592573.924965741,6
12,2640846.4030431146,6
13,2746133.8506380287,6
14,2658540.4526926586,6
15,2829731.5530563015,6
16,2935163.124398361,6
17,2943183.0231430344,6
18,2974897.0622419575,6
19,2991869.353441907,6
20,3222506.8219242636,6
21,3233939.0179158547,6
22,3308658.9384471774,6
23,3417555.852760165,6
24,3448377.7246242138,6
25,3415670.301577743,6
26,3620576.0554755297,6
27,3433402.455714998,6
28,3697868.5913192322,6
29,3710892.638882653,6
30,3763893.354592674,6
31,3877080.6661963845,6
32,3938613.2833574107,6
33,4118026.3399738995,6
34,4163305.5625212854,6
35,4359477.445065754,6
36,4337265.672983649,6
37,4366268.81006481,6
38,4634066.071980117,6
39,4587936.084020546,6
40,4597166.058054157,6
